groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
aluminum-bottle-100ml-clear-20-410-finemist,Alu100mlSprayBlack,AB-ALU-CLR-100ML-SPR-BLK,Alu100mlSprayBlack__AB-ALU-CLR-100ML-SPR-BLK.png,identity-cap-on,,,no-source,
aluminum-bottle-100ml-clear-20-410-finemist,Alu100mlSprayBlack,AB-ALU-CLR-100ML-SPR-BLK,Alu100mlSprayBlack__AB-ALU-CLR-100ML-SPR-BLK.png,pdp-cap-off-sidecar,,,no-source,
aluminum-bottle-120ml-clear-20-410-lotionpump,Alu120mlLotionPumpBlack,AB-ALU-CLR-120ML-LPM-BLK,Alu120mlLotionPumpBlack__AB-ALU-CLR-120ML-LPM-BLK.png,identity-cap-on,,,missing-role,
aluminum-bottle-120ml-clear-20-410-lotionpump,Alu120mlLotionPumpBlack,AB-ALU-CLR-120ML-LPM-BLK,Alu120mlLotionPumpBlack__AB-ALU-CLR-120ML-LPM-BLK.png,pdp-cap-off-sidecar,,,missing-role,
aluminum-bottle-120ml-clear-20-410-lotionpump,Alu120mlLotionPumpBlack,AB-ALU-CLR-120ML-LPM-BLK,Alu120mlLotionPumpBlack__AB-ALU-CLR-120ML-LPM-BLK.png,UNDECIDED,original,11. 20-410 Alu/20mm Alu Bottles/Alu120mlLotionPumpBlack.psd,needs-role-decision,
aluminum-bottle-250ml-clear-20-410-finemist,Alu250mlSprayBlack,AB-ALU-CLR-250ML-SPR-BLK,Alu250mlSprayBlack__AB-ALU-CLR-250ML-SPR-BLK.png,identity-cap-on,,,missing-role,
aluminum-bottle-250ml-clear-20-410-finemist,Alu250mlSprayBlack,AB-ALU-CLR-250ML-SPR-BLK,Alu250mlSprayBlack__AB-ALU-CLR-250ML-SPR-BLK.png,pdp-cap-off-sidecar,,,missing-role,
aluminum-bottle-250ml-clear-20-410-finemist,Alu250mlSprayBlack,AB-ALU-CLR-250ML-SPR-BLK,Alu250mlSprayBlack__AB-ALU-CLR-250ML-SPR-BLK.png,UNDECIDED,original,11. 20-410 Alu/250ml/Alu250mlSprayblack.psd,needs-role-decision,
aluminum-bottle-500ml-clear-20-410,Alu500,AB-ALU-CLR-500ML,Alu500__AB-ALU-CLR-500ML.png,identity-cap-on,,,no-source,
aluminum-bottle-500ml-clear-20-410,Alu500,AB-ALU-CLR-500ML,Alu500__AB-ALU-CLR-500ML.png,pdp-cap-off-sidecar,,,no-source,
aluminum-bottle-65ml-clear-20-410-lotionpump,Alu65mlLotionPumpBlack,AB-ALU-CLR-65ML-LPM-BLK,Alu65mlLotionPumpBlack__AB-ALU-CLR-65ML-LPM-BLK.png,identity-cap-on,bbuat,2. PSD Capped /13. 20-410 Alu/20mm Alu Bottles/Alu 2oz/Alu65mlLotionPumpBlack.psd,ready,
aluminum-bottle-65ml-clear-20-410-lotionpump,Alu65mlLotionPumpBlack,AB-ALU-CLR-65ML-LPM-BLK,Alu65mlLotionPumpBlack__AB-ALU-CLR-65ML-LPM-BLK.png,pdp-cap-off-sidecar,,,missing-role,
aluminum-bottle-65ml-white-20-410-lotionpump,Alu65mlLotionPumpWhite,AB-CYL-WHT-65ML-LPM-WHT,Alu65mlLotionPumpWhite__AB-CYL-WHT-65ML-LPM-WHT.png,identity-cap-on,bbuat,2. PSD Capped /13. 20-410 Alu/20mm Alu Bottles/Alu 2oz/Alu65mlLotionPumpWhite.psd,ready,
aluminum-bottle-65ml-white-20-410-lotionpump,Alu65mlLotionPumpWhite,AB-CYL-WHT-65ML-LPM-WHT,Alu65mlLotionPumpWhite__AB-CYL-WHT-65ML-LPM-WHT.png,pdp-cap-off-sidecar,,,missing-role,
fine-mist-sprayer-20-410,Alu250SpryBl,BB-ALU250SPRYBL,Alu250SpryBl__BB-ALU250SPRYBL.png,identity-cap-on,,,no-source,
fine-mist-sprayer-20-410,Alu250SpryBl,BB-ALU250SPRYBL,Alu250SpryBl__BB-ALU250SPRYBL.png,pdp-cap-off-sidecar,,,no-source,
