groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
boston-round-15ml-amber-18-400,GBBstnAmb15mlBlkCapSht,GB-BSR-AMB-15ML-BLK-S,GBBstnAmb15mlBlkCapSht__GB-BSR-AMB-15ML-BLK-S.png,identity-cap-on,bbuat,2. PSD Capped /1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/5.  (.5 ounce:15ml) Boston Round (Capped)/1. Amber Bottle (.5ounce:15ml) (capped)/Amber Bottle (1.5 ounce) Alternating Caps (capped)/1. GBBstnAmb15mlBlkCapSht.psd,ready,
boston-round-15ml-amber-18-400,GBBstnAmb15mlBlkCapSht,GB-BSR-AMB-15ML-BLK-S,GBBstnAmb15mlBlkCapSht__GB-BSR-AMB-15ML-BLK-S.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/2. Boston Round  Dropper Bottles/5.  (.5 ounce:15ml) Boston Round (Uncapped)/1. Amber Bottle (.5ounce:15ml) (Uncapped)/Amber Bottle (1.5 ounce) Alternating Caps (Uncapped)/1. GBBstnAmb15mlBlkCapSht.psd,ready,
boston-round-15ml-amber-18-400-dropper,GBBstnAmb15mlWhtDropperGlTrim,GB-BSR-AMB-15ML-WHT-T-02,GBBstnAmb15mlWhtDropperGlTrim__GB-BSR-AMB-15ML-WHT-T-02.png,identity-cap-on,bbuat,2. PSD Capped /1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/5.  (.5 ounce:15ml) Boston Round (Capped)/1. Amber Bottle (.5ounce:15ml) (capped)/Amber Bottle (1.5 ounce) Alternating Caps (capped)/4. GBBstnAmb15mlWhtDropperGlTrim.psd,ready,
boston-round-15ml-amber-18-400-dropper,GBBstnAmb15mlWhtDropperGlTrim,GB-BSR-AMB-15ML-WHT-T-02,GBBstnAmb15mlWhtDropperGlTrim__GB-BSR-AMB-15ML-WHT-T-02.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/2. Boston Round  Dropper Bottles/5.  (.5 ounce:15ml) Boston Round (Uncapped)/1. Amber Bottle (.5ounce:15ml) (Uncapped)/Amber Bottle (1.5 ounce) Alternating Caps (Uncapped)/4. GBBstnAmb15mlWhtDropperGlTrim.psd,ready,
boston-round-15ml-clear-18-400,GBBstn15BlkCapSht,GB-BSR-CLR-15ML-BLK-S,GBBstn15BlkCapSht__GB-BSR-CLR-15ML-BLK-S.png,identity-cap-on,bbuat,2. PSD Capped /1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/5.  (.5 ounce:15ml) Boston Round (Capped)/3. Clear Bottle (.5ounce:15ml) (capped)/Clear Dropper Bottler 1.5 ounce Alternating Caps (capped)/1. GBBstn15BlkCapSht.psd,ready,
boston-round-15ml-clear-18-400,GBBstn15BlkCapSht,GB-BSR-CLR-15ML-BLK-S,GBBstn15BlkCapSht__GB-BSR-CLR-15ML-BLK-S.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/2. Boston Round  Dropper Bottles/5.  (.5 ounce:15ml) Boston Round (Uncapped)/3. Clear Bottle (.5ounce:15ml) (Uncapped)/Clear Dropper Bottler 1.5 ounce Alternating Caps (Uncapped)/1. GBBstn15BlkCapSht.psd,ready,
boston-round-15ml-cobalt-blue-18-400,GBBstnBlu15BlkCapSht,GB-BSR-CBL-15ML-BLK-S,GBBstnBlu15BlkCapSht__GB-BSR-CBL-15ML-BLK-S.png,identity-cap-on,bbuat,2. PSD Capped /1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/5.  (.5 ounce:15ml) Boston Round (Capped)/2. Cobalt Blue Bottle (.5ounce:15ml) (capped)/1. GBBstnBlu15BlkCapSht.psd,ready,
boston-round-15ml-cobalt-blue-18-400,GBBstnBlu15BlkCapSht,GB-BSR-CBL-15ML-BLK-S,GBBstnBlu15BlkCapSht__GB-BSR-CBL-15ML-BLK-S.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/2. Boston Round  Dropper Bottles/5.  (.5 ounce:15ml) Boston Round (Uncapped)/2. Cobalt Blue Bottle (.5ounce:15ml) (Uncapped)/1. GBBstnBlu15BlkCapSht.psd,ready,
boston-round-15ml-cobalt-blue-18-400-dropper,GBBstnBlu15mlBlkDropperSlTrim,GB-BSR-CBL-15ML-BLK-T-03,GBBstnBlu15mlBlkDropperSlTrim__GB-BSR-CBL-15ML-BLK-T-03.png,identity-cap-on,bbuat,2. PSD Capped /1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/1. Boston Round  Dropper Bottles/5.  (.5 ounce:15ml) Boston Round (Capped)/2. Cobalt Blue Bottle (.5ounce:15ml) (capped)/2. GBBstnBlu15mlBlkDropperSlTrim.psd,ready,
boston-round-15ml-cobalt-blue-18-400-dropper,GBBstnBlu15mlBlkDropperSlTrim,GB-BSR-CBL-15ML-BLK-T-03,GBBstnBlu15mlBlkDropperSlTrim__GB-BSR-CBL-15ML-BLK-T-03.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /1.  20-400 (1 oz & 2 oz) the 15ml 18-400 Boston Round/2. Boston Round  Dropper Bottles/5.  (.5 ounce:15ml) Boston Round (Uncapped)/2. Cobalt Blue Bottle (.5ounce:15ml) (Uncapped)/2. GBBstnBlu15mlBlkDropperSlTrim.psd,ready,
