groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
circle-100ml-clear-18-415-antiquespray,GBCrcl100AnSpGl,GB-CIR-CLR-100ML-ASP-GLD,GBCrcl100AnSpGl__GB-CIR-CLR-100ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/5. Circle Glass Bottle 100ml (clear)/1. Circle Glass 100ml PSD/37. GBCrcl100AnSpGl.psd,ready,,
circle-100ml-clear-18-415-antiquespray,GBCrcl100AnSpGl,GB-CIR-CLR-100ML-ASP-GLD,GBCrcl100AnSpGl__GB-CIR-CLR-100ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
circle-100ml-clear-18-415-antiquespray-tassel,GBCrcl100AnSpTslGl,GB-CIR-CLR-100ML-AST-GLD,GBCrcl100AnSpTslGl__GB-CIR-CLR-100ML-AST-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/5. Circle Glass Bottle 100ml (clear)/1. Circle Glass 100ml PSD/50. GBCrcl100AnSpTslGl.psd,ready,,
circle-100ml-clear-18-415-antiquespray-tassel,GBCrcl100AnSpTslGl,GB-CIR-CLR-100ML-AST-GLD,GBCrcl100AnSpTslGl__GB-CIR-CLR-100ML-AST-GLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
circle-100ml-clear-18-415-lotionpump,LBCrcl100LtnMtGl,LB-CIR-CLR-100ML-LPM-MGLD,LBCrcl100LtnMtGl__LB-CIR-CLR-100ML-LPM-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/5. Circle Glass Bottle 100ml (clear)/1. Circle Glass 100ml PSD/12. LBCrcl100LtnMtGl.psd,ready,,
circle-100ml-clear-18-415-lotionpump,LBCrcl100LtnMtGl,LB-CIR-CLR-100ML-LPM-MGLD,LBCrcl100LtnMtGl__LB-CIR-CLR-100ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /5. Circle Glass Bottle 100ml (clear)/1. Circle Glass 100ml PSD/14. LBCrcl100LtnMtGl.psd,ready,hero,
circle-100ml-clear-18-415-perfumespray,GBCrcl100SpryMtGl,GB-CIR-CLR-100ML-SPR-MGLD,GBCrcl100SpryMtGl__GB-CIR-CLR-100ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/5. Circle Glass Bottle 100ml (clear)/1. Circle Glass 100ml PSD/11. GBCrcl100SpryMtGl.psd,ready,,
circle-100ml-clear-18-415-perfumespray,GBCrcl100SpryMtGl,GB-CIR-CLR-100ML-SPR-MGLD,GBCrcl100SpryMtGl__GB-CIR-CLR-100ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /5. Circle Glass Bottle 100ml (clear)/1. Circle Glass 100ml PSD/13. GBCrcl100SpryMtGl.psd,ready,hero,
circle-100ml-clear-18-415-reducer,GBCrcl100RdcrShnGl,GB-CIR-CLR-100ML-RDC-SGLD,GBCrcl100RdcrShnGl__GB-CIR-CLR-100ML-RDC-SGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/5. Circle Glass Bottle 100ml (clear)/1. Circle Glass 100ml PSD/1. GBCrcl100RdcrShnGl.psd,ready,,
circle-100ml-clear-18-415-reducer,GBCrcl100RdcrShnGl,GB-CIR-CLR-100ML-RDC-SGLD,GBCrcl100RdcrShnGl__GB-CIR-CLR-100ML-RDC-SGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /5. Circle Glass Bottle 100ml (clear)/1. Circle Glass 100ml PSD/1. GBCrcl100RdcrShnGl.psd,ready,hero,
circle-100ml-frosted-18-415-antiquespray,GBCrclFrst100AnSpGl,GB-CIR-FRS-100ML-ASP-SGLD,GBCrclFrst100AnSpGl__GB-CIR-FRS-100ML-ASP-SGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/6. Circle (frosted) 100ml/1. Circle Frst 100ml PSD/37. GBCrclFrst100AnSpGl.psd,ready,,
circle-100ml-frosted-18-415-antiquespray,GBCrclFrst100AnSpGl,GB-CIR-FRS-100ML-ASP-SGLD,GBCrclFrst100AnSpGl__GB-CIR-FRS-100ML-ASP-SGLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
