groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
cream-jar-15ml-clear,CJClr15Pnk,CJ-JAR-CLR-15ML-PNK,CJClr15Pnk__CJ-JAR-CLR-15ML-PNK.png,identity-cap-on,,,no-source,
cream-jar-15ml-clear,CJClr15Pnk,CJ-JAR-CLR-15ML-PNK,CJClr15Pnk__CJ-JAR-CLR-15ML-PNK.png,pdp-cap-off-sidecar,,,no-source,
cream-jar-20ml-white,CJWhite20,CJ-JAR-20ML-WHT,CJWhite20__CJ-JAR-20ML-WHT.png,identity-cap-on,,,missing-role,
cream-jar-20ml-white,CJWhite20,CJ-JAR-20ML-WHT,CJWhite20__CJ-JAR-20ML-WHT.png,pdp-cap-off-sidecar,,,missing-role,
cream-jar-20ml-white,CJWhite20,CJ-JAR-20ML-WHT,CJWhite20__CJ-JAR-20ML-WHT.png,UNDECIDED,original,Cream Jars/CJWhite20.psd,needs-role-decision,
cream-jar-30ml-amber,CJAmb30BlkCap,CJ-JAR-AMB-30ML-BLK,CJAmb30BlkCap__CJ-JAR-AMB-30ML-BLK.png,identity-cap-on,,,no-source,
cream-jar-30ml-amber,CJAmb30BlkCap,CJ-JAR-AMB-30ML-BLK,CJAmb30BlkCap__CJ-JAR-AMB-30ML-BLK.png,pdp-cap-off-sidecar,,,no-source,
cream-jar-30ml-frosted,CJFrst30BlkCap,CJ-JAR-FRS-30ML-BLK,CJFrst30BlkCap__CJ-JAR-FRS-30ML-BLK.png,identity-cap-on,,,missing-role,
cream-jar-30ml-frosted,CJFrst30BlkCap,CJ-JAR-FRS-30ML-BLK,CJFrst30BlkCap__CJ-JAR-FRS-30ML-BLK.png,pdp-cap-off-sidecar,,,missing-role,
cream-jar-30ml-frosted,CJFrst30BlkCap,CJ-JAR-FRS-30ML-BLK,CJFrst30BlkCap__CJ-JAR-FRS-30ML-BLK.png,UNDECIDED,original,Cream Jars/CJFrst30BlkCap.psd,needs-role-decision,
cream-jar-3ml-clear,CJClr3,CJ-JAR-CLR-3ML,CJClr3__CJ-JAR-CLR-3ML.png,identity-cap-on,,,no-source,
cream-jar-3ml-clear,CJClr3,CJ-JAR-CLR-3ML,CJClr3__CJ-JAR-CLR-3ML.png,pdp-cap-off-sidecar,,,no-source,
cream-jar-3ml-cobalt-blue,CJBlu3,CJ-JAR-CBL-9ML,CJBlu3__CJ-JAR-CBL-9ML.png,identity-cap-on,,,no-source,
cream-jar-3ml-cobalt-blue,CJBlu3,CJ-JAR-CBL-9ML,CJBlu3__CJ-JAR-CBL-9ML.png,pdp-cap-off-sidecar,,,no-source,
cream-jar-40ml-amber,CreamJarAmb40Blkcap,CJ-JAR-AMB-40ML-01,CreamJarAmb40Blkcap__CJ-JAR-AMB-40ML-01.png,identity-cap-on,,,no-source,
cream-jar-40ml-amber,CreamJarAmb40Blkcap,CJ-JAR-AMB-40ML-01,CreamJarAmb40Blkcap__CJ-JAR-AMB-40ML-01.png,pdp-cap-off-sidecar,,,no-source,
cream-jar-40ml-frosted,CJFrst40BlkCap,CJ-JAR-FRS-40ML-01,CJFrst40BlkCap__CJ-JAR-FRS-40ML-01.png,identity-cap-on,,,missing-role,
cream-jar-40ml-frosted,CJFrst40BlkCap,CJ-JAR-FRS-40ML-01,CJFrst40BlkCap__CJ-JAR-FRS-40ML-01.png,pdp-cap-off-sidecar,,,missing-role,
cream-jar-40ml-frosted,CJFrst40BlkCap,CJ-JAR-FRS-40ML-01,CJFrst40BlkCap__CJ-JAR-FRS-40ML-01.png,UNDECIDED,original,Cream Jars/CJFrst40BlkCap.psd,needs-role-decision,
cream-jar-5ml-amber,CJAmb5mlBlkCap,CJ-JAR-AMB-5ML-BLK,CJAmb5mlBlkCap__CJ-JAR-AMB-5ML-BLK.png,identity-cap-on,,,missing-role,
cream-jar-5ml-amber,CJAmb5mlBlkCap,CJ-JAR-AMB-5ML-BLK,CJAmb5mlBlkCap__CJ-JAR-AMB-5ML-BLK.png,pdp-cap-off-sidecar,,,missing-role,
cream-jar-5ml-amber,CJAmb5mlBlkCap,CJ-JAR-AMB-5ML-BLK,CJAmb5mlBlkCap__CJ-JAR-AMB-5ML-BLK.png,UNDECIDED,original,Cream Jars/CJAmb5mlBlkCap.psd,needs-role-decision,
cream-jar-5ml-clear,CJClr5mlClrCap,CJ-JAR-CLR-5ML-CLR,CJClr5mlClrCap__CJ-JAR-CLR-5ML-CLR.png,identity-cap-on,,,missing-role,
cream-jar-5ml-clear,CJClr5mlClrCap,CJ-JAR-CLR-5ML-CLR,CJClr5mlClrCap__CJ-JAR-CLR-5ML-CLR.png,pdp-cap-off-sidecar,,,missing-role,
cream-jar-5ml-clear,CJClr5mlClrCap,CJ-JAR-CLR-5ML-CLR,CJClr5mlClrCap__CJ-JAR-CLR-5ML-CLR.png,UNDECIDED,original,Cream Jars/CJClr5mlClrCap.psd,needs-role-decision,
cream-jar-60ml-frosted,CreamJarFrstdPlsBlkPls2oz,CJ-JAR-FRS-60ML,CreamJarFrstdPlsBlkPls2oz__CJ-JAR-FRS-60ML.png,identity-cap-on,,,no-source,
cream-jar-60ml-frosted,CreamJarFrstdPlsBlkPls2oz,CJ-JAR-FRS-60ML,CreamJarFrstdPlsBlkPls2oz__CJ-JAR-FRS-60ML.png,pdp-cap-off-sidecar,,,no-source,
cream-jar-63ml-white,CJWhitePlsSlFr2oz,CJ-JAR-60ML-WHT,CJWhitePlsSlFr2oz__CJ-JAR-60ML-WHT.png,identity-cap-on,,,no-source,
cream-jar-63ml-white,CJWhitePlsSlFr2oz,CJ-JAR-60ML-WHT,CJWhitePlsSlFr2oz__CJ-JAR-60ML-WHT.png,pdp-cap-off-sidecar,,,no-source,
lotion-pump-37mm,CreamJarAmb5mlSlcap,BB-CREAMJARAMB5MLSLCAP,CreamJarAmb5mlSlcap__BB-CREAMJARAMB5MLSLCAP.png,identity-cap-on,,,no-source,
lotion-pump-37mm,CreamJarAmb5mlSlcap,BB-CREAMJARAMB5MLSLCAP,CreamJarAmb5mlSlcap__BB-CREAMJARAMB5MLSLCAP.png,pdp-cap-off-sidecar,,,no-source,
