groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
cylinder-100ml-clear-18-415-antiquespray,GBCyl100AnSpMtSl,GB-CYL-CLR-100ML-ASP-MSLV,GBCyl100AnSpMtSl__GB-CYL-CLR-100ML-ASP-MSLV.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/3. Cylindrical 100ml/1. Cylindrical 100ml PSD/35. GBCyl100AnSpMtSl.psd,ready,
cylinder-100ml-clear-18-415-antiquespray,GBCyl100AnSpMtSl,GB-CYL-CLR-100ML-ASP-MSLV,GBCyl100AnSpMtSl__GB-CYL-CLR-100ML-ASP-MSLV.png,pdp-cap-off-sidecar,,,missing-role,
cylinder-100ml-clear-18-415-antiquespray-tassel,GBCyl100AnSpTslMtSl,GB-CYL-CLR-100ML-AST-MSLV,GBCyl100AnSpTslMtSl__GB-CYL-CLR-100ML-AST-MSLV.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/3. Cylindrical 100ml/1. Cylindrical 100ml PSD/49. GBCyl100AnSpTslMtSl.psd,ready,
cylinder-100ml-clear-18-415-antiquespray-tassel,GBCyl100AnSpTslMtSl,GB-CYL-CLR-100ML-AST-MSLV,GBCyl100AnSpTslMtSl__GB-CYL-CLR-100ML-AST-MSLV.png,pdp-cap-off-sidecar,,,missing-role,
cylinder-100ml-clear-18-415-lotionpump,LBCyl100LtnMtGl,LB-CYL-CLR-100ML-LPM-MGLD,LBCyl100LtnMtGl__LB-CYL-CLR-100ML-LPM-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/3. Cylindrical 100ml/1. Cylindrical 100ml PSD/12. LBCyl100LtnMtGl.psd,ready,
cylinder-100ml-clear-18-415-lotionpump,LBCyl100LtnMtGl,LB-CYL-CLR-100ML-LPM-MGLD,LBCyl100LtnMtGl__LB-CYL-CLR-100ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/14. LBCyl100LtnMtGl.psd,ready,
cylinder-100ml-clear-18-415-perfumespray,GBCyl100SpryMtGl,GB-CYL-CLR-100ML-SPR-MGLD,GBCyl100SpryMtGl__GB-CYL-CLR-100ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/3. Cylindrical 100ml/1. Cylindrical 100ml PSD/11. GBCyl100SpryMtGl.psd,ready,
cylinder-100ml-clear-18-415-perfumespray,GBCyl100SpryMtGl,GB-CYL-CLR-100ML-SPR-MGLD,GBCyl100SpryMtGl__GB-CYL-CLR-100ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/13. GBCyl100SpryMtGl.psd,ready,
cylinder-100ml-clear-18-415-reducer,GBCyl100RdcrMtSl,GB-CYL-CLR-100ML-RDC-MSLV,GBCyl100RdcrMtSl__GB-CYL-CLR-100ML-RDC-MSLV.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/3. Cylindrical 100ml/1. Cylindrical 100ml PSD/9. GBCyl100RdcrMtSl.psd,ready,
cylinder-100ml-clear-18-415-reducer,GBCyl100RdcrMtSl,GB-CYL-CLR-100ML-RDC-MSLV,GBCyl100RdcrMtSl__GB-CYL-CLR-100ML-RDC-MSLV.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /3. Cylindrical 100ml/1. Cylindrical 100ml PSD/9. GBCyl100RdcrMtSl.psd,ready,
