groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
eternal-flame-35ml-clear-Ground,GBEternalFlameClear,GB-ETF-CLR-35ML,GBEternalFlameClear__GB-ETF-CLR-35ML.png,identity-cap-on,,,missing-role,
eternal-flame-35ml-clear-Ground,GBEternalFlameClear,GB-ETF-CLR-35ML,GBEternalFlameClear__GB-ETF-CLR-35ML.png,pdp-cap-off-sidecar,,,missing-role,
eternal-flame-35ml-clear-Ground,GBEternalFlameClear,GB-ETF-CLR-35ML,GBEternalFlameClear__GB-ETF-CLR-35ML.png,UNDECIDED,original,Decorative Glass bottles/GBEternalFlameClear.psd,needs-role-decision,
eternal-flame-35ml-cobalt-blue-Ground,GBEternalFlameBlue,GB-ETF-BLU-35ML,GBEternalFlameBlue__GB-ETF-BLU-35ML.png,identity-cap-on,,,no-source,
eternal-flame-35ml-cobalt-blue-Ground,GBEternalFlameBlue,GB-ETF-BLU-35ML,GBEternalFlameBlue__GB-ETF-BLU-35ML.png,pdp-cap-off-sidecar,,,no-source,
eternal-flame-35ml-green-Ground,GBEternalFlameGreen,GB-ETF-GRN-35ML,GBEternalFlameGreen__GB-ETF-GRN-35ML.png,identity-cap-on,,,no-source,
eternal-flame-35ml-green-Ground,GBEternalFlameGreen,GB-ETF-GRN-35ML,GBEternalFlameGreen__GB-ETF-GRN-35ML.png,pdp-cap-off-sidecar,,,no-source,
genie-32ml-clear-Ground,GB1ozGenieCl,GB-GNI-CLR-32ML,GB1ozGenieCl__GB-GNI-CLR-32ML.png,identity-cap-on,,,missing-role,
genie-32ml-clear-Ground,GB1ozGenieCl,GB-GNI-CLR-32ML,GB1ozGenieCl__GB-GNI-CLR-32ML.png,pdp-cap-off-sidecar,,,missing-role,
genie-32ml-clear-Ground,GB1ozGenieCl,GB-GNI-CLR-32ML,GB1ozGenieCl__GB-GNI-CLR-32ML.png,UNDECIDED,original,Decorative Glass bottles/GB1ozGenieCl..psd,needs-role-decision,
genie-32ml-cobalt-blue-Ground,GB1ozGenieBl,GB-GNI-BLU-32ML,GB1ozGenieBl__GB-GNI-BLU-32ML.png,identity-cap-on,,,missing-role,
genie-32ml-cobalt-blue-Ground,GB1ozGenieBl,GB-GNI-BLU-32ML,GB1ozGenieBl__GB-GNI-BLU-32ML.png,pdp-cap-off-sidecar,,,missing-role,
genie-32ml-cobalt-blue-Ground,GB1ozGenieBl,GB-GNI-BLU-32ML,GB1ozGenieBl__GB-GNI-BLU-32ML.png,UNDECIDED,original,Decorative Glass bottles/GB1ozGenieBl.psd,needs-role-decision,
heart-4ml-frosted-8mm-keychain-glassapplicator,GBHeartFrst4KeyGld,GB-DEC-FRS-4ML-GST-GLD-T,GBHeartFrst4KeyGld__GB-DEC-FRS-4ML-GST-GLD-T.png,identity-cap-on,bbuat,2. PSD Capped /9.   8mm Deco Hearts /1. Small Decorative Hearts /1. Frst 4 ml Heart/1. Frst 4ml Heart/2. GBHeartFrst4KeyGld.psd,ready,
heart-4ml-frosted-8mm-keychain-glassapplicator,GBHeartFrst4KeyGld,GB-DEC-FRS-4ML-GST-GLD-T,GBHeartFrst4KeyGld__GB-DEC-FRS-4ML-GST-GLD-T.png,pdp-cap-off-sidecar,,,missing-role,
heart-4ml-frosted-8mm-tassel-glassapplicator,GBHeartFrst4TslRed,GB-DEC-FRS-4ML-GST-RED-T,GBHeartFrst4TslRed__GB-DEC-FRS-4ML-GST-RED-T.png,identity-cap-on,bbuat,2. PSD Capped /9.   8mm Deco Hearts /1. Small Decorative Hearts /1. Frst 4 ml Heart/1. Frst 4ml Heart/4. GBHeartFrst4TslRed.psd,ready,
heart-4ml-frosted-8mm-tassel-glassapplicator,GBHeartFrst4TslRed,GB-DEC-FRS-4ML-GST-RED-T,GBHeartFrst4TslRed__GB-DEC-FRS-4ML-GST-RED-T.png,pdp-cap-off-sidecar,,,missing-role,
marble-10ml-clear-17.52mm,GBMtlMrblLarge,GB-DEC-CLR-10ML-T,GBMtlMrblLarge__GB-DEC-CLR-10ML-T.png,identity-cap-on,,,missing-role,
marble-10ml-clear-17.52mm,GBMtlMrblLarge,GB-DEC-CLR-10ML-T,GBMtlMrblLarge__GB-DEC-CLR-10ML-T.png,pdp-cap-off-sidecar,,,missing-role,
marble-10ml-clear-17.52mm,GBMtlMrblLarge,GB-DEC-CLR-10ML-T,GBMtlMrblLarge__GB-DEC-CLR-10ML-T.png,UNDECIDED,original,Decorative Glass bottles/GBMtlMrblLarge.psd,needs-role-decision,
marble-5ml-clear-17.52mm,GBMtlMrblSmall,GB-DEC-CLR-5ML-T,GBMtlMrblSmall__GB-DEC-CLR-5ML-T.png,identity-cap-on,,,missing-role,
marble-5ml-clear-17.52mm,GBMtlMrblSmall,GB-DEC-CLR-5ML-T,GBMtlMrblSmall__GB-DEC-CLR-5ML-T.png,pdp-cap-off-sidecar,,,missing-role,
marble-5ml-clear-17.52mm,GBMtlMrblSmall,GB-DEC-CLR-5ML-T,GBMtlMrblSmall__GB-DEC-CLR-5ML-T.png,UNDECIDED,original,Decorative Glass bottles/GBMtlMrblSmall.psd,needs-role-decision,
pear-355ml-clear-Ground-glassapplicator,GBCB12ozPear,GB-DEC-CLR-355ML-T,GBCB12ozPear__GB-DEC-CLR-355ML-T.png,identity-cap-on,bbuat,2. PSD Capped /10. Apothecary/8. 12 Oz Pear /GBCB12ozPear.psd,ready,
pear-355ml-clear-Ground-glassapplicator,GBCB12ozPear,GB-DEC-CLR-355ML-T,GBCB12ozPear__GB-DEC-CLR-355ML-T.png,pdp-cap-off-sidecar,,,missing-role,
tola-3ml-clear-14.3mm,GB3TPlGl,GB-DEC-CLR-3ML-T,GB3TPlGl__GB-DEC-CLR-3ML-T.png,identity-cap-on,,,missing-role,
tola-3ml-clear-14.3mm,GB3TPlGl,GB-DEC-CLR-3ML-T,GB3TPlGl__GB-DEC-CLR-3ML-T.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /19. 14.3mm/14.3mm/Uncapped/GB3TPlGl..psd,ready,
tola-6ml-clear-14.3mm,GB6TPlGl,GB-DEC-CLR-6ML-T,GB6TPlGl__GB-DEC-CLR-6ML-T.png,identity-cap-on,,,missing-role,
tola-6ml-clear-14.3mm,GB6TPlGl,GB-DEC-CLR-6ML-T,GB6TPlGl__GB-DEC-CLR-6ML-T.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /19. 14.3mm/14.3mm/Uncapped/GB6TPlGl...psd,ready,
