groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
diamond-60ml-clear-18-415-antiquespray,GBDmnd2ozAnSpMtSl,GB-DMD-CLR-60ML-ASP-MSLV,GBDmnd2ozAnSpMtSl__GB-DMD-CLR-60ML-ASP-MSLV.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/28. Diamond 60ml/1. Diamond 60ml  PSD/35. GBDmnd2ozAnSpMtSl.psd,ready,,
diamond-60ml-clear-18-415-antiquespray,GBDmnd2ozAnSpMtSl,GB-DMD-CLR-60ML-ASP-MSLV,GBDmnd2ozAnSpMtSl__GB-DMD-CLR-60ML-ASP-MSLV.png,pdp-cap-off-sidecar,,,missing-role,hero,
diamond-60ml-clear-18-415-antiquespray-tassel,GBDmnd2ozAnSpTslGl,GB-DMD-CLR-60ML-AST-GLD,GBDmnd2ozAnSpTslGl__GB-DMD-CLR-60ML-AST-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/28. Diamond 60ml/1. Diamond 60ml  PSD/50. GBDmnd2ozAnSpTslGl.psd,ready,,
diamond-60ml-clear-18-415-antiquespray-tassel,GBDmnd2ozAnSpTslGl,GB-DMD-CLR-60ML-AST-GLD,GBDmnd2ozAnSpTslGl__GB-DMD-CLR-60ML-AST-GLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
diamond-60ml-clear-18-415-lotionpump,LBDmnd2ozLtnMtGl,LB-DMD-CLR-60ML-LPM-MGLD,LBDmnd2ozLtnMtGl__LB-DMD-CLR-60ML-LPM-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/28. Diamond 60ml/1. Diamond 60ml  PSD/12. LBDmnd2ozLtnMtGl.psd,ready,,
diamond-60ml-clear-18-415-lotionpump,LBDmnd2ozLtnMtGl,LB-DMD-CLR-60ML-LPM-MGLD,LBDmnd2ozLtnMtGl__LB-DMD-CLR-60ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /28. Diamond 60ml/1. Diamond 60ml  PSD/14. LBDmnd2ozLtnMtGl.psd,ready,hero,
diamond-60ml-clear-18-415-perfumespray,GBDmnd2ozSpryMtGl,GB-DMD-CLR-60ML-SPR-MGLD,GBDmnd2ozSpryMtGl__GB-DMD-CLR-60ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/28. Diamond 60ml/1. Diamond 60ml  PSD/11. GBDmnd2ozSpryMtGl.psd,ready,,
diamond-60ml-clear-18-415-perfumespray,GBDmnd2ozSpryMtGl,GB-DMD-CLR-60ML-SPR-MGLD,GBDmnd2ozSpryMtGl__GB-DMD-CLR-60ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /28. Diamond 60ml/1. Diamond 60ml  PSD/13. GBDmnd2ozSpryMtGl.psd,ready,hero,
diamond-60ml-clear-18-415-reducer,GBDmnd2ozRdcrMtSl,GB-DMD-CLR-60ML-RDC-MSLV,GBDmnd2ozRdcrMtSl__GB-DMD-CLR-60ML-RDC-MSLV.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/28. Diamond 60ml/1. Diamond 60ml  PSD/9. GBDmnd2ozRdcrMtSl.psd,ready,,
diamond-60ml-clear-18-415-reducer,GBDmnd2ozRdcrMtSl,GB-DMD-CLR-60ML-RDC-MSLV,GBDmnd2ozRdcrMtSl__GB-DMD-CLR-60ML-RDC-MSLV.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /28. Diamond 60ml/1. Diamond 60ml  PSD/9. GBDmnd2ozRdcrMtSl.psd,ready,hero,
