groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
diva-100ml-clear-18-415-antiquespray,GBDiva100AnSpGl,GB-DVA-CLR-100ML-ASP-GLD,GBDiva100AnSpGl__GB-DVA-CLR-100ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/27. Diva (clear) 100ml/1. Diva (Clear) 100ml PSD/37. GBDiva100AnSpGl.psd,ready,,
diva-100ml-clear-18-415-antiquespray,GBDiva100AnSpGl,GB-DVA-CLR-100ML-ASP-GLD,GBDiva100AnSpGl__GB-DVA-CLR-100ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
diva-100ml-clear-18-415-antiquespray-tassel,GBDiva100AnSpTslGl,GB-DVA-CLR-100ML-AST-GLD,GBDiva100AnSpTslGl__GB-DVA-CLR-100ML-AST-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/27. Diva (clear) 100ml/1. Diva (Clear) 100ml PSD/50. GBDiva100AnSpTslGl.psd,ready,,
diva-100ml-clear-18-415-antiquespray-tassel,GBDiva100AnSpTslGl,GB-DVA-CLR-100ML-AST-GLD,GBDiva100AnSpTslGl__GB-DVA-CLR-100ML-AST-GLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
diva-100ml-clear-18-415-lotionpump,LBDiva100LtnMtGl,LB-DVA-CLR-100ML-LPM-MGLD,LBDiva100LtnMtGl__LB-DVA-CLR-100ML-LPM-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/27. Diva (clear) 100ml/1. Diva (Clear) 100ml PSD/12. LBDiva100LtnMtGl.psd,ready,,
diva-100ml-clear-18-415-lotionpump,LBDiva100LtnMtGl,LB-DVA-CLR-100ML-LPM-MGLD,LBDiva100LtnMtGl__LB-DVA-CLR-100ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /27. Diva (clear) 100ml/1. Diva (Clear) 100ml PSD/14. LBDiva100LtnMtGl.psd,ready,hero,
diva-100ml-clear-18-415-perfumespray,GBDiva100SpryMtGl,GB-DVA-CLR-100ML-SPR-MGLD,GBDiva100SpryMtGl__GB-DVA-CLR-100ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/27. Diva (clear) 100ml/1. Diva (Clear) 100ml PSD/11. GBDiva100SpryMtGl.psd,ready,,
diva-100ml-clear-18-415-perfumespray,GBDiva100SpryMtGl,GB-DVA-CLR-100ML-SPR-MGLD,GBDiva100SpryMtGl__GB-DVA-CLR-100ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /27. Diva (clear) 100ml/1. Diva (Clear) 100ml PSD/13. GBDiva100SpryMtGl.psd,ready,hero,
diva-100ml-clear-18-415-reducer,GBDiva100RdcrShnGl,GB-DVA-CLR-100ML-RDC-SGLD,GBDiva100RdcrShnGl__GB-DVA-CLR-100ML-RDC-SGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/27. Diva (clear) 100ml/1. Diva (Clear) 100ml PSD/1. GBDiva100RdcrShnGl.psd,ready,,
diva-100ml-clear-18-415-reducer,GBDiva100RdcrShnGl,GB-DVA-CLR-100ML-RDC-SGLD,GBDiva100RdcrShnGl__GB-DVA-CLR-100ML-RDC-SGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /27. Diva (clear) 100ml/1. Diva (Clear) 100ml PSD/1. GBDiva100RdcrShnGl.psd,ready,hero,
