groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
elegant-100ml-clear-18-415-antiquespray,GBElg100AnSpGl,GB-ELG-CLR-100ML-ASP-GLD,GBElg100AnSpGl__GB-ELG-CLR-100ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/18. Elegant 100ml/1. Elegant 100ml PSD/37. GBElg100AnSpGl.psd,ready,
elegant-100ml-clear-18-415-antiquespray,GBElg100AnSpGl,GB-ELG-CLR-100ML-ASP-GLD,GBElg100AnSpGl__GB-ELG-CLR-100ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,
elegant-100ml-clear-18-415-antiquespray-tassel,GBElg100AnSpTslIvyGl,GB-ELG-CLR-100ML-AST-IVGD,GBElg100AnSpTslIvyGl__GB-ELG-CLR-100ML-AST-IVGD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/18. Elegant 100ml/1. Elegant 100ml PSD/43. GBElg100AnSpTslIvyGl.psd,ready,
elegant-100ml-clear-18-415-antiquespray-tassel,GBElg100AnSpTslIvyGl,GB-ELG-CLR-100ML-AST-IVGD,GBElg100AnSpTslIvyGl__GB-ELG-CLR-100ML-AST-IVGD.png,pdp-cap-off-sidecar,,,missing-role,
elegant-100ml-clear-18-415-lotionpump,LBElg100LtnMtGl,LB-ELG-CLR-100ML-LPM-MGLD,LBElg100LtnMtGl__LB-ELG-CLR-100ML-LPM-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/18. Elegant 100ml/1. Elegant 100ml PSD/12. LBElg100LtnMtGl.psd,ready,
elegant-100ml-clear-18-415-lotionpump,LBElg100LtnMtGl,LB-ELG-CLR-100ML-LPM-MGLD,LBElg100LtnMtGl__LB-ELG-CLR-100ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /18. Elegant 100ml/1. Elegant 100ml PSD/14. LBElg100LtnMtGl.psd,ready,
elegant-100ml-clear-18-415-perfumespray,GBElg100SpryMtGl,GB-ELG-CLR-100ML-SPR-MGLD,GBElg100SpryMtGl__GB-ELG-CLR-100ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/18. Elegant 100ml/1. Elegant 100ml PSD/11. GBElg100SpryMtGl.psd,ready,
elegant-100ml-clear-18-415-perfumespray,GBElg100SpryMtGl,GB-ELG-CLR-100ML-SPR-MGLD,GBElg100SpryMtGl__GB-ELG-CLR-100ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /18. Elegant 100ml/1. Elegant 100ml PSD/13. GBElg100SpryMtGl.psd,ready,
elegant-100ml-clear-18-415-reducer,GBElg100RdcrShnGl,GB-ELG-CLR-100ML-RDC-SGLD,GBElg100RdcrShnGl__GB-ELG-CLR-100ML-RDC-SGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/18. Elegant 100ml/1. Elegant 100ml PSD/1. GBElg100RdcrShnGl.psd,ready,
elegant-100ml-clear-18-415-reducer,GBElg100RdcrShnGl,GB-ELG-CLR-100ML-RDC-SGLD,GBElg100RdcrShnGl__GB-ELG-CLR-100ML-RDC-SGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /18. Elegant 100ml/1. Elegant 100ml PSD/1. GBElg100RdcrShnGl.psd,ready,
