groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
empire-100ml-clear-18-415-antiquespray,GBEmp100AnSpGl,GB-EMP-CLR-100ML-ASP-GLD,GBEmp100AnSpGl__GB-EMP-CLR-100ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/22. Empire Bottle 100ml/1. Empire 100ml PSD/37. GBEmp100AnSpGl.psd,ready,,
empire-100ml-clear-18-415-antiquespray,GBEmp100AnSpGl,GB-EMP-CLR-100ML-ASP-GLD,GBEmp100AnSpGl__GB-EMP-CLR-100ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
empire-100ml-clear-18-415-antiquespray-tassel,GBEmp100AnSpTslGl,GB-EMP-CLR-100ML-AST-GLD,GBEmp100AnSpTslGl__GB-EMP-CLR-100ML-AST-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/22. Empire Bottle 100ml/1. Empire 100ml PSD/50. GBEmp100AnSpTslGl.psd,ready,,
empire-100ml-clear-18-415-antiquespray-tassel,GBEmp100AnSpTslGl,GB-EMP-CLR-100ML-AST-GLD,GBEmp100AnSpTslGl__GB-EMP-CLR-100ML-AST-GLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
empire-100ml-clear-18-415-lotionpump,LBEmp100WhtClOvrCp,LB-EMP-CLR-100ML-LPM-OVCP-T,LBEmp100WhtClOvrCp__LB-EMP-CLR-100ML-LPM-OVCP-T.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/22. Empire Bottle 100ml/1. Empire 100ml PSD/51. LBEmp100WhtClOvrCp.psd,ready,,
empire-100ml-clear-18-415-lotionpump,LBEmp100WhtClOvrCp,LB-EMP-CLR-100ML-LPM-OVCP-T,LBEmp100WhtClOvrCp__LB-EMP-CLR-100ML-LPM-OVCP-T.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /22. Empire Bottle 100ml/1. Empire 100ml PSD/52. LBEmp100WhtClOvrCp.psd,ready,hero,
empire-100ml-clear-18-415-perfumespray,GBEmp100SpryMtGl,GB-EMP-CLR-100ML-SPR-MGLD,GBEmp100SpryMtGl__GB-EMP-CLR-100ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/22. Empire Bottle 100ml/1. Empire 100ml PSD/11. GBEmp100SpryMtGl.psd,ready,,
empire-100ml-clear-18-415-perfumespray,GBEmp100SpryMtGl,GB-EMP-CLR-100ML-SPR-MGLD,GBEmp100SpryMtGl__GB-EMP-CLR-100ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /22. Empire Bottle 100ml/1. Empire 100ml PSD/13. GBEmp100SpryMtGl.psd,ready,hero,
empire-100ml-clear-18-415-reducer,GBEmp100RdcrShnGl,GB-EMP-CLR-100ML-RDC-SGLD,GBEmp100RdcrShnGl__GB-EMP-CLR-100ML-RDC-SGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/22. Empire Bottle 100ml/1. Empire 100ml PSD/1. GBEmp100RdcrShnGl.psd,ready,,
empire-100ml-clear-18-415-reducer,GBEmp100RdcrShnGl,GB-EMP-CLR-100ML-RDC-SGLD,GBEmp100RdcrShnGl__GB-EMP-CLR-100ML-RDC-SGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /22. Empire Bottle 100ml/1. Empire 100ml PSD/1. GBEmp100RdcrShnGl.psd,ready,hero,
empire-50ml-clear-18-415-antiquespray,GBEmp50AnSpGl,GB-EMP-CLR-50ML-ASP-GLD,GBEmp50AnSpGl__GB-EMP-CLR-50ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/21. Empire 50ml/1. Empire 50ml PSD/37. GBEmp50AnSpGl.psd,ready,,
empire-50ml-clear-18-415-antiquespray,GBEmp50AnSpGl,GB-EMP-CLR-50ML-ASP-GLD,GBEmp50AnSpGl__GB-EMP-CLR-50ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
empire-50ml-clear-18-415-antiquespray-tassel,GBEmp50AnSpTslGl,GB-EMP-CLR-50ML-AST-GLD,GBEmp50AnSpTslGl__GB-EMP-CLR-50ML-AST-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/21. Empire 50ml/1. Empire 50ml PSD/50. GBEmp50AnSpTslGl.psd,ready,,
empire-50ml-clear-18-415-antiquespray-tassel,GBEmp50AnSpTslGl,GB-EMP-CLR-50ML-AST-GLD,GBEmp50AnSpTslGl__GB-EMP-CLR-50ML-AST-GLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
empire-50ml-clear-18-415-dropper,GBEmp50DrpGl,GB-EMP-CLR-50ML-DRP-GLD,GBEmp50DrpGl__GB-EMP-CLR-50ML-DRP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/21. Empire 50ml/1. Empire 50ml PSD/52. GBEmp50DrpGl.psd,ready,hero,
empire-50ml-clear-18-415-dropper,GBEmp50DrpGl,GB-EMP-CLR-50ML-DRP-GLD,GBEmp50DrpGl__GB-EMP-CLR-50ML-DRP-GLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /21. Empire 50ml/1. Empire 50ml PSD/52. GBEmp50DrpGl.psd,ready,,
empire-50ml-clear-18-415-lotionpump,LBEmp50WhtClOvrCp,LB-EMP-CLR-50ML-LPM-OVCP-T,LBEmp50WhtClOvrCp__LB-EMP-CLR-50ML-LPM-OVCP-T.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/21. Empire 50ml/1. Empire 50ml PSD/56. LBEmp50WhtClOvrCp.psd,ready,,
empire-50ml-clear-18-415-lotionpump,LBEmp50WhtClOvrCp,LB-EMP-CLR-50ML-LPM-OVCP-T,LBEmp50WhtClOvrCp__LB-EMP-CLR-50ML-LPM-OVCP-T.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /21. Empire 50ml/1. Empire 50ml PSD/57. LBEmp50WhtClOvrCp.psd,ready,hero,
empire-50ml-clear-18-415-perfumespray,GBEmp50SpryMtGl,GB-EMP-CLR-50ML-SPR-MGLD,GBEmp50SpryMtGl__GB-EMP-CLR-50ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/21. Empire 50ml/1. Empire 50ml PSD/11. GBEmp50SpryMtGl.psd,ready,,
empire-50ml-clear-18-415-perfumespray,GBEmp50SpryMtGl,GB-EMP-CLR-50ML-SPR-MGLD,GBEmp50SpryMtGl__GB-EMP-CLR-50ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /21. Empire 50ml/1. Empire 50ml PSD/13. GBEmp50SpryMtGl.psd,ready,hero,
