groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
gift-bag-0ml-black,OBagBlack4x6,ACC-ORG-BLK-4X6,OBagBlack4x6__ACC-ORG-BLK-4X6.png,identity-cap-on,,,no-source,
gift-bag-0ml-black,OBagBlack4x6,ACC-ORG-BLK-4X6,OBagBlack4x6__ACC-ORG-BLK-4X6.png,pdp-cap-off-sidecar,,,no-source,
gift-bag-0ml-blue,VBagBlue4x3,ACC-VLV-BLU-4X3,VBagBlue4x3__ACC-VLV-BLU-4X3.png,identity-cap-on,,,no-source,
gift-bag-0ml-blue,VBagBlue4x3,ACC-VLV-BLU-4X3,VBagBlue4x3__ACC-VLV-BLU-4X3.png,pdp-cap-off-sidecar,,,no-source,
gift-bag-0ml-gold,OBagGold4x6,ACC-ORG-GLD-4X6,OBagGold4x6__ACC-ORG-GLD-4X6.png,identity-cap-on,,,no-source,
gift-bag-0ml-gold,OBagGold4x6,ACC-ORG-GLD-4X6,OBagGold4x6__ACC-ORG-GLD-4X6.png,pdp-cap-off-sidecar,,,no-source,
gift-bag-0ml-green,OBagChGreen5x8,ACC-ORG-CHGN-5X8,OBagChGreen5x8__ACC-ORG-CHGN-5X8.png,identity-cap-on,,,no-source,
gift-bag-0ml-green,OBagChGreen5x8,ACC-ORG-CHGN-5X8,OBagChGreen5x8__ACC-ORG-CHGN-5X8.png,pdp-cap-off-sidecar,,,no-source,
gift-bag-0ml-ivory,OBagIvory4x6,ACC-ORG-IVY-4X6,OBagIvory4x6__ACC-ORG-IVY-4X6.png,identity-cap-on,,,no-source,
gift-bag-0ml-ivory,OBagIvory4x6,ACC-ORG-IVY-4X6,OBagIvory4x6__ACC-ORG-IVY-4X6.png,pdp-cap-off-sidecar,,,no-source,
gift-bag-0ml-lavender,OBagLavender5x8,ACC-ORG-LVN-5X8,OBagLavender5x8__ACC-ORG-LVN-5X8.png,identity-cap-on,,,no-source,
gift-bag-0ml-lavender,OBagLavender5x8,ACC-ORG-LVN-5X8,OBagLavender5x8__ACC-ORG-LVN-5X8.png,pdp-cap-off-sidecar,,,no-source,
gift-bag-0ml-mixed,VBagRed4x5,ACC-VLV-RED-4X5,VBagRed4x5__ACC-VLV-RED-4X5.png,identity-cap-on,,,no-source,
gift-bag-0ml-mixed,VBagRed4x5,ACC-VLV-RED-4X5,VBagRed4x5__ACC-VLV-RED-4X5.png,pdp-cap-off-sidecar,,,no-source,
gift-bag-0ml-pink,OBagPink4x6,ACC-ORG-PNK-4X6,OBagPink4x6__ACC-ORG-PNK-4X6.png,identity-cap-on,,,no-source,
gift-bag-0ml-pink,OBagPink4x6,ACC-ORG-PNK-4X6,OBagPink4x6__ACC-ORG-PNK-4X6.png,pdp-cap-off-sidecar,,,no-source,
gift-bag-0ml-purple,OBagLightPurple5x8,ACC-ORG-LTPR-5X8,OBagLightPurple5x8__ACC-ORG-LTPR-5X8.png,identity-cap-on,,,no-source,
gift-bag-0ml-purple,OBagLightPurple5x8,ACC-ORG-LTPR-5X8,OBagLightPurple5x8__ACC-ORG-LTPR-5X8.png,pdp-cap-off-sidecar,,,no-source,
gift-bag-0ml-red,OBagRed4x6,ACC-ORG-RED-4X6,OBagRed4x6__ACC-ORG-RED-4X6.png,identity-cap-on,,,no-source,
gift-bag-0ml-red,OBagRed4x6,ACC-ORG-RED-4X6,OBagRed4x6__ACC-ORG-RED-4X6.png,pdp-cap-off-sidecar,,,no-source,
gift-bag-0ml-silver,OBagSilver4x6,ACC-ORG-SLV-4X6-02,OBagSilver4x6__ACC-ORG-SLV-4X6-02.png,identity-cap-on,,,no-source,
gift-bag-0ml-silver,OBagSilver4x6,ACC-ORG-SLV-4X6-02,OBagSilver4x6__ACC-ORG-SLV-4X6-02.png,pdp-cap-off-sidecar,,,no-source,
