groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
gift-box-0ml-blue,BoxBWndwBlueFthr,PKG-BOX-BWIN-BLU,BoxBWndwBlueFthr__PKG-BOX-BWIN-BLU.png,identity-cap-on,,,no-source,
gift-box-0ml-blue,BoxBWndwBlueFthr,PKG-BOX-BWIN-BLU,BoxBWndwBlueFthr__PKG-BOX-BWIN-BLU.png,pdp-cap-off-sidecar,,,no-source,
gift-box-0ml-clear,BoxCWndwWhite,PKG-BOX-CWIN-WHT,BoxCWndwWhite__PKG-BOX-CWIN-WHT.png,identity-cap-on,,,no-source,
gift-box-0ml-clear,BoxCWndwWhite,PKG-BOX-CWIN-WHT,BoxCWndwWhite__PKG-BOX-CWIN-WHT.png,pdp-cap-off-sidecar,,,no-source,
gift-box-0ml-green,BoxBWndwGreenBrush,PKG-BOX-BWIN-GRN,BoxBWndwGreenBrush__PKG-BOX-BWIN-GRN.png,identity-cap-on,,,no-source,
gift-box-0ml-green,BoxBWndwGreenBrush,PKG-BOX-BWIN-GRN,BoxBWndwGreenBrush__PKG-BOX-BWIN-GRN.png,pdp-cap-off-sidecar,,,no-source,
gift-box-0ml-matte,BoxECreamMatteCube,PKG-BOX-ECRM-CUBE,BoxECreamMatteCube__PKG-BOX-ECRM-CUBE.png,identity-cap-on,,,no-source,
gift-box-0ml-matte,BoxECreamMatteCube,PKG-BOX-ECRM-CUBE,BoxECreamMatteCube__PKG-BOX-ECRM-CUBE.png,pdp-cap-off-sidecar,,,no-source,
gift-box-0ml-mixed,BoxBWndwEarthBrush,PKG-BOX-BWIN-ERTH,BoxBWndwEarthBrush__PKG-BOX-BWIN-ERTH.png,identity-cap-on,,,no-source,
gift-box-0ml-mixed,BoxBWndwEarthBrush,PKG-BOX-BWIN-ERTH,BoxBWndwEarthBrush__PKG-BOX-BWIN-ERTH.png,pdp-cap-off-sidecar,,,no-source,
gift-box-0ml-silver,BoxCWndwSlvrSunFlwr,PKG-BOX-CWIN-SLV,BoxCWndwSlvrSunFlwr__PKG-BOX-CWIN-SLV.png,identity-cap-on,,,no-source,
gift-box-0ml-silver,BoxCWndwSlvrSunFlwr,PKG-BOX-CWIN-SLV,BoxCWndwSlvrSunFlwr__PKG-BOX-CWIN-SLV.png,pdp-cap-off-sidecar,,,no-source,
gift-box-0ml-white,BoxWhite101020,PKG-BOX-WHT-1X1X2,BoxWhite101020__PKG-BOX-WHT-1X1X2.png,identity-cap-on,,,no-source,
gift-box-0ml-white,BoxWhite101020,PKG-BOX-WHT-1X1X2,BoxWhite101020__PKG-BOX-WHT-1X1X2.png,pdp-cap-off-sidecar,,,no-source,
