groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
grace-55ml-clear-18-415-antiquespray,GBGrce55AnSpMtSl,GB-GRC-CLR-55ML-ASP-MSLV,GBGrce55AnSpMtSl__GB-GRC-CLR-55ML-ASP-MSLV.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/29. Grace 55 ml/1. Grace 55ml PSD/35. GBGrce55AnSpMtSl.psd,ready,
grace-55ml-clear-18-415-antiquespray,GBGrce55AnSpMtSl,GB-GRC-CLR-55ML-ASP-MSLV,GBGrce55AnSpMtSl__GB-GRC-CLR-55ML-ASP-MSLV.png,pdp-cap-off-sidecar,,,missing-role,
grace-55ml-clear-18-415-antiquespray-tassel,GBGrce55AnSpTslMtSl,GB-GRC-CLR-55ML-AST-MSLV,GBGrce55AnSpTslMtSl__GB-GRC-CLR-55ML-AST-MSLV.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/29. Grace 55 ml/1. Grace 55ml PSD/49. GBGrce55AnSpTslMtSl.psd,ready,
grace-55ml-clear-18-415-antiquespray-tassel,GBGrce55AnSpTslMtSl,GB-GRC-CLR-55ML-AST-MSLV,GBGrce55AnSpTslMtSl__GB-GRC-CLR-55ML-AST-MSLV.png,pdp-cap-off-sidecar,,,missing-role,
grace-55ml-clear-18-415-lotionpump,LBGrce55LtnMtGl,LB-GRC-CLR-55ML-LPM-MGLD,LBGrce55LtnMtGl__LB-GRC-CLR-55ML-LPM-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/29. Grace 55 ml/1. Grace 55ml PSD/12. LBGrce55LtnMtGl.psd,ready,
grace-55ml-clear-18-415-lotionpump,LBGrce55LtnMtGl,LB-GRC-CLR-55ML-LPM-MGLD,LBGrce55LtnMtGl__LB-GRC-CLR-55ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /29. Grace 55 ml/1. Grace 55ml PSD/14. LBGrce55LtnMtGl.psd,ready,
grace-55ml-clear-18-415-perfumespray,GBGrce55SpryMtGl,GB-GRC-CLR-55ML-SPR-MGLD,GBGrce55SpryMtGl__GB-GRC-CLR-55ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/29. Grace 55 ml/1. Grace 55ml PSD/11. GBGrce55SpryMtGl.psd,ready,
grace-55ml-clear-18-415-perfumespray,GBGrce55SpryMtGl,GB-GRC-CLR-55ML-SPR-MGLD,GBGrce55SpryMtGl__GB-GRC-CLR-55ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /29. Grace 55 ml/1. Grace 55ml PSD/13. GBGrce55SpryMtGl.psd,ready,
grace-55ml-clear-18-415-reducer,GBGrce55RdcrMtSl,GB-GRC-CLR-55ML-RDC-MSLV,GBGrce55RdcrMtSl__GB-GRC-CLR-55ML-RDC-MSLV.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/29. Grace 55 ml/1. Grace 55ml PSD/9. GBGrce55RdcrMtSl.psd,ready,
grace-55ml-clear-18-415-reducer,GBGrce55RdcrMtSl,GB-GRC-CLR-55ML-RDC-MSLV,GBGrce55RdcrMtSl__GB-GRC-CLR-55ML-RDC-MSLV.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /29. Grace 55 ml/1. Grace 55ml PSD/9. GBGrce55RdcrMtSl.psd,ready,
