groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
footed-rectangle-10ml-clear-13-415,GBRect10Gl,GB-RCT-CLR-10ML-GLD-T-01,GBRect10Gl__GB-RCT-CLR-10ML-GLD-T-01.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/18. Footed Rectangluar 10ml/2. Footed Rect (Capped)10ml PSD/28. GBRect10Gl.psd,ready,
footed-rectangle-10ml-clear-13-415,GBRect10Gl,GB-RCT-CLR-10ML-GLD-T-01,GBRect10Gl__GB-RCT-CLR-10ML-GLD-T-01.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/18. Footed Rectangluar 10ml/1. Footed Rect 10ml (Uncapped) PSD/28. GBRect10Gl.psd,ready,
footed-rectangle-10ml-clear-13-415-finemist,GBRect10SpryGlMatt,GB-RCT-CLR-10ML-SPR-MGLD-01,GBRect10SpryGlMatt__GB-RCT-CLR-10ML-SPR-MGLD-01.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/18. Footed Rectangluar 10ml/2. Footed Rect (Capped)10ml PSD/7. GBRect10SpryGlMatt.psd,ready,
footed-rectangle-10ml-clear-13-415-finemist,GBRect10SpryGlMatt,GB-RCT-CLR-10ML-SPR-MGLD-01,GBRect10SpryGlMatt__GB-RCT-CLR-10ML-SPR-MGLD-01.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/18. Footed Rectangluar 10ml/1. Footed Rect 10ml (Uncapped) PSD/7. GBRect10SpryGlMatt.psd,ready,
footed-rectangle-10ml-clear-13-415-rollon,GBRect10MtlRollBlkDot,GB-RCT-CLR-10ML-MRL-BKDT-01,GBRect10MtlRollBlkDot__GB-RCT-CLR-10ML-MRL-BKDT-01.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/18. Footed Rectangluar 10ml/2. Footed Rect (Capped)10ml PSD/27. GBRect10MtlRollBlkDot.psd,ready,
footed-rectangle-10ml-clear-13-415-rollon,GBRect10MtlRollBlkDot,GB-RCT-CLR-10ML-MRL-BKDT-01,GBRect10MtlRollBlkDot__GB-RCT-CLR-10ML-MRL-BKDT-01.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/18. Footed Rectangluar 10ml/1. Footed Rect 10ml (Uncapped) PSD/27. GBRect10MtlRollBlkDot.psd,ready,
rectangle-9ml-clear-Ground-glassapplicator,GBSQSTClear,GB-RCT-CLR-9ML-T-02,GBSQSTClear__GB-RCT-CLR-9ML-T-02.png,identity-cap-on,bbuat,2. PSD Capped /20. Additional Bottles/GBSQSTClear..psd,ready,
rectangle-9ml-clear-Ground-glassapplicator,GBSQSTClear,GB-RCT-CLR-9ML-T-02,GBSQSTClear__GB-RCT-CLR-9ML-T-02.png,pdp-cap-off-sidecar,,,missing-role,
tall-rectangle-10ml-clear-13-415,GBTallRect10Gl,GB-RCT-CLR-10ML-GLD-T-02,GBTallRect10Gl__GB-RCT-CLR-10ML-GLD-T-02.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/16. Tall Rectangular 10ml/2. Tall Rectangular (Capped) 10ml PSD /28. GBTallRect10Gl.psd,ready,
tall-rectangle-10ml-clear-13-415,GBTallRect10Gl,GB-RCT-CLR-10ML-GLD-T-02,GBTallRect10Gl__GB-RCT-CLR-10ML-GLD-T-02.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/16. Tall Rectangular 10ml/1. Tall Rectangular 10ml (uncapped) PSD/28. GBTallRect10Gl.psd,ready,
tall-rectangle-10ml-clear-13-415-finemist,GBTallRect10SpryGlMatt,GB-RCT-CLR-10ML-SPR-MGLD-02,GBTallRect10SpryGlMatt__GB-RCT-CLR-10ML-SPR-MGLD-02.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/16. Tall Rectangular 10ml/2. Tall Rectangular (Capped) 10ml PSD /7. GBTallRect10SpryGlMatt.psd,ready,
tall-rectangle-10ml-clear-13-415-finemist,GBTallRect10SpryGlMatt,GB-RCT-CLR-10ML-SPR-MGLD-02,GBTallRect10SpryGlMatt__GB-RCT-CLR-10ML-SPR-MGLD-02.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/16. Tall Rectangular 10ml/1. Tall Rectangular 10ml (uncapped) PSD/7. GBTallRect10SpryGlMatt.psd,ready,
tall-rectangle-10ml-clear-13-415-rollon,GBTallRect10MtlRollBlkDot,GB-RCT-CLR-10ML-MRL-BKDT-02,GBTallRect10MtlRollBlkDot__GB-RCT-CLR-10ML-MRL-BKDT-02.png,identity-cap-on,,,missing-role,
tall-rectangle-10ml-clear-13-415-rollon,GBTallRect10MtlRollBlkDot,GB-RCT-CLR-10ML-MRL-BKDT-02,GBTallRect10MtlRollBlkDot__GB-RCT-CLR-10ML-MRL-BKDT-02.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/16. Tall Rectangular 10ml/1. Tall Rectangular 10ml (uncapped) PSD/26. GBTallRect10MtlRollBlkDot.psd,ready,
