groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
cap-closure-13-415,CP13-415WhtSht,CMP-CAP-WHT-S-13-415,CP13-415WhtSht__CMP-CAP-WHT-S-13-415.png,identity-cap-on,,,missing-role,,
cap-closure-13-415,CP13-415WhtSht,CMP-CAP-WHT-S-13-415,CP13-415WhtSht__CMP-CAP-WHT-S-13-415.png,pdp-cap-off-sidecar,,,missing-role,hero,
cap-closure-13-415,CP13-415WhtSht,CMP-CAP-WHT-S-13-415,CP13-415WhtSht__CMP-CAP-WHT-S-13-415.png,UNDECIDED,original,5. 13-415 Bottles PSD/Caps 13-415/13415/18. CP13-415WhtSht.psd,needs-role-decision,,
cap-closure-15-415,CP15-415ShnSl,CMP-CAP-SSLV-15-415,CP15-415ShnSl__CMP-CAP-SSLV-15-415.png,identity-cap-on,,,missing-role,,
cap-closure-15-415,CP15-415ShnSl,CMP-CAP-SSLV-15-415,CP15-415ShnSl__CMP-CAP-SSLV-15-415.png,pdp-cap-off-sidecar,,,missing-role,hero,
cap-closure-15-415,CP15-415ShnSl,CMP-CAP-SSLV-15-415,CP15-415ShnSl__CMP-CAP-SSLV-15-415.png,UNDECIDED,original,"20. Closures - Cap, Sprayers, Lotion pumps, etc/15. 15-415 Caps/6. CP15-415ShnSl.psd",needs-role-decision,,
lotion-pump-17-415,Ltn17-415MattSl,CMP-LPM-MSLV-17-415,Ltn17-415MattSl__CMP-LPM-MSLV-17-415.png,identity-cap-on,,,missing-role,,
lotion-pump-17-415,Ltn17-415MattSl,CMP-LPM-MSLV-17-415,Ltn17-415MattSl__CMP-LPM-MSLV-17-415.png,pdp-cap-off-sidecar,,,missing-role,hero,
lotion-pump-17-415,Ltn17-415MattSl,CMP-LPM-MSLV-17-415,Ltn17-415MattSl__CMP-LPM-MSLV-17-415.png,UNDECIDED,original,"20. Closures - Cap, Sprayers, Lotion pumps, etc/14. 17-415 Lotion/17. Ltn17-415MattSl.psd",needs-role-decision,,
roll-on-fitment-13-415,CPRoll13-415SlDot,CMP-ROC-SLV-13415-DOT,CPRoll13-415SlDot__CMP-ROC-SLV-13415-DOT.png,identity-cap-on,,,missing-role,,
roll-on-fitment-13-415,CPRoll13-415SlDot,CMP-ROC-SLV-13415-DOT,CPRoll13-415SlDot__CMP-ROC-SLV-13415-DOT.png,pdp-cap-off-sidecar,,,missing-role,hero,
roll-on-fitment-13-415,CPRoll13-415SlDot,CMP-ROC-SLV-13415-DOT,CPRoll13-415SlDot__CMP-ROC-SLV-13415-DOT.png,UNDECIDED,original,"20. Closures - Cap, Sprayers, Lotion pumps, etc/19. 13-415 Roll on/2. CPRoll13-415SlDot.psd",needs-role-decision,,
roll-on-fitment-17-415,CpRoll17-415MattSl,CMP-ROC-MSLV-17415,CpRoll17-415MattSl__CMP-ROC-MSLV-17415.png,identity-cap-on,,,missing-role,,
roll-on-fitment-17-415,CpRoll17-415MattSl,CMP-ROC-MSLV-17415,CpRoll17-415MattSl__CMP-ROC-MSLV-17415.png,pdp-cap-off-sidecar,,,missing-role,hero,
roll-on-fitment-17-415,CpRoll17-415MattSl,CMP-ROC-MSLV-17415,CpRoll17-415MattSl__CMP-ROC-MSLV-17415.png,UNDECIDED,original,"20. Closures - Cap, Sprayers, Lotion pumps, etc/12. 17-415 Roll on/1. CpRoll17-415MattSl.psd",needs-role-decision,,
roll-on-fitment-20-400,CPRoll20-400TallMattSl,CMP-ROC-MSLV-20400-T,CPRoll20-400TallMattSl__CMP-ROC-MSLV-20400-T.png,identity-cap-on,,,missing-role,,
roll-on-fitment-20-400,CPRoll20-400TallMattSl,CMP-ROC-MSLV-20400-T,CPRoll20-400TallMattSl__CMP-ROC-MSLV-20400-T.png,pdp-cap-off-sidecar,,,missing-role,hero,
roll-on-fitment-20-400,CPRoll20-400TallMattSl,CMP-ROC-MSLV-20400-T,CPRoll20-400TallMattSl__CMP-ROC-MSLV-20400-T.png,UNDECIDED,original,"20. Closures - Cap, Sprayers, Lotion pumps, etc/1. 20-400 Roll on caps/Roll on caps/20. CPRoll20-400TallMattSl.psd",needs-role-decision,,
