groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
round-128ml-clear-18-415-antiquespray,GBRnd128AnSpGl,GB-RND-CLR-128ML-ASP-GLD,GBRnd128AnSpGl__GB-RND-CLR-128ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/37. GBRnd128AnSpGl.psd,ready,
round-128ml-clear-18-415-antiquespray,GBRnd128AnSpGl,GB-RND-CLR-128ML-ASP-GLD,GBRnd128AnSpGl__GB-RND-CLR-128ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,
round-128ml-clear-18-415-antiquespray-tassel,GBRnd128AnSpTslIvyGl,GB-RND-CLR-128ML-AST-IVGD,GBRnd128AnSpTslIvyGl__GB-RND-CLR-128ML-AST-IVGD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/43. GBRnd128AnSpTslIvyGl.psd,ready,
round-128ml-clear-18-415-antiquespray-tassel,GBRnd128AnSpTslIvyGl,GB-RND-CLR-128ML-AST-IVGD,GBRnd128AnSpTslIvyGl__GB-RND-CLR-128ML-AST-IVGD.png,pdp-cap-off-sidecar,,,missing-role,
round-128ml-clear-18-415-dropper,GBRnd128DrpGl,GB-RND-CLR-128ML-DRP-GLD,GBRnd128DrpGl__GB-RND-CLR-128ML-DRP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/52. GBRnd128DrpGl.psd,ready,
round-128ml-clear-18-415-dropper,GBRnd128DrpGl,GB-RND-CLR-128ML-DRP-GLD,GBRnd128DrpGl__GB-RND-CLR-128ML-DRP-GLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/52. GBRnd128DrpGl.psd,ready,
round-128ml-clear-18-415-lotionpump,LBRnd128LtnMtGl,LB-RND-CLR-128ML-LPM-MGLD,LBRnd128LtnMtGl__LB-RND-CLR-128ML-LPM-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/12. LBRnd128LtnMtGl.psd,ready,
round-128ml-clear-18-415-lotionpump,LBRnd128LtnMtGl,LB-RND-CLR-128ML-LPM-MGLD,LBRnd128LtnMtGl__LB-RND-CLR-128ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/14. LBRnd128LtnMtGl.psd,ready,
round-128ml-clear-18-415-perfumespray,GBRnd128SpryMtGl,GB-RND-CLR-128ML-SPR-MGLD,GBRnd128SpryMtGl__GB-RND-CLR-128ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/11. GBRnd128SpryMtGl.psd,ready,
round-128ml-clear-18-415-perfumespray,GBRnd128SpryMtGl,GB-RND-CLR-128ML-SPR-MGLD,GBRnd128SpryMtGl__GB-RND-CLR-128ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/13. GBRnd128SpryMtGl.psd,ready,
