groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
sleek-100ml-clear-18-415-antiquespray,GBSlk100AnSpGl,GB-SLK-CLR-100ML-ASP-GLD,GBSlk100AnSpGl__GB-SLK-CLR-100ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/13. Sleek 100ml/1. Sleek 100ml PSD/37. GBSlk100AnSpGl.psd,ready,,
sleek-100ml-clear-18-415-antiquespray,GBSlk100AnSpGl,GB-SLK-CLR-100ML-ASP-GLD,GBSlk100AnSpGl__GB-SLK-CLR-100ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
sleek-100ml-clear-18-415-antiquespray-tassel,GBSlk100AnSpTslIvyGl,GB-SLK-CLR-100ML-AST-IVGD,GBSlk100AnSpTslIvyGl__GB-SLK-CLR-100ML-AST-IVGD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/13. Sleek 100ml/1. Sleek 100ml PSD/43. GBSlk100AnSpTslIvyGl.psd,ready,,
sleek-100ml-clear-18-415-antiquespray-tassel,GBSlk100AnSpTslIvyGl,GB-SLK-CLR-100ML-AST-IVGD,GBSlk100AnSpTslIvyGl__GB-SLK-CLR-100ML-AST-IVGD.png,pdp-cap-off-sidecar,,,missing-role,hero,
sleek-100ml-clear-18-415-lotionpump,LBSlk100LtnMtGl,LB-SLK-CLR-100ML-LPM-MGLD,LBSlk100LtnMtGl__LB-SLK-CLR-100ML-LPM-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/13. Sleek 100ml/1. Sleek 100ml PSD/12. LBSlk100LtnMtGl.psd,ready,,
sleek-100ml-clear-18-415-lotionpump,LBSlk100LtnMtGl,LB-SLK-CLR-100ML-LPM-MGLD,LBSlk100LtnMtGl__LB-SLK-CLR-100ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /13. Sleek 100ml/1. Sleek 100ml PSD/14. LBSlk100LtnMtGl.psd,ready,hero,
sleek-100ml-clear-18-415-perfumespray,GBSlk100SpryMtGl,GB-SLK-CLR-100ML-SPR-MGLD,GBSlk100SpryMtGl__GB-SLK-CLR-100ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/13. Sleek 100ml/1. Sleek 100ml PSD/11. GBSlk100SpryMtGl.psd,ready,,
sleek-100ml-clear-18-415-perfumespray,GBSlk100SpryMtGl,GB-SLK-CLR-100ML-SPR-MGLD,GBSlk100SpryMtGl__GB-SLK-CLR-100ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /13. Sleek 100ml/1. Sleek 100ml PSD/13. GBSlk100SpryMtGl.psd,ready,hero,
sleek-100ml-clear-18-415-reducer,GBSlk100RdcrShnGl,GB-SLK-CLR-100ML-RDC-SGLD,GBSlk100RdcrShnGl__GB-SLK-CLR-100ML-RDC-SGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/13. Sleek 100ml/1. Sleek 100ml PSD/1. GBSlk100RdcrShnGl.psd,ready,,
sleek-100ml-clear-18-415-reducer,GBSlk100RdcrShnGl,GB-SLK-CLR-100ML-RDC-SGLD,GBSlk100RdcrShnGl__GB-SLK-CLR-100ML-RDC-SGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /13. Sleek 100ml/1. Sleek 100ml PSD/1. GBSlk100RdcrShnGl.psd,ready,hero,
sleek-30ml-clear-18-415-antiquespray,GBSlk30AnSpGl,GB-SLK-CLR-30ML-ASP-GLD,GBSlk30AnSpGl__GB-SLK-CLR-30ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/11. Sleek 30ml /1. Sleek 30ml PSD/37. GBSlk30AnSpGl.psd,ready,,
sleek-30ml-clear-18-415-antiquespray,GBSlk30AnSpGl,GB-SLK-CLR-30ML-ASP-GLD,GBSlk30AnSpGl__GB-SLK-CLR-30ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
sleek-30ml-clear-18-415-dropper,GBSlk30DrpGl,GB-SLK-CLR-30ML-DRP-GLD,GBSlk30DrpGl__GB-SLK-CLR-30ML-DRP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/11. Sleek 30ml /1. Sleek 30ml PSD/44. GBSlk30DrpGl.psd,ready,hero,
sleek-30ml-clear-18-415-dropper,GBSlk30DrpGl,GB-SLK-CLR-30ML-DRP-GLD,GBSlk30DrpGl__GB-SLK-CLR-30ML-DRP-GLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /11. Sleek 30ml /1. Sleek 30ml PSD/55. GBSlk30DrpGl.psd,ready,,
sleek-30ml-clear-18-415-lotionpump,LBSlk30LtnMtGl,LB-SLK-CLR-30ML-LPM-MGLD,LBSlk30LtnMtGl__LB-SLK-CLR-30ML-LPM-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/11. Sleek 30ml /1. Sleek 30ml PSD/12. LBSlk30LtnMtGl.psd,ready,,
sleek-30ml-clear-18-415-lotionpump,LBSlk30LtnMtGl,LB-SLK-CLR-30ML-LPM-MGLD,LBSlk30LtnMtGl__LB-SLK-CLR-30ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /11. Sleek 30ml /1. Sleek 30ml PSD/14. LBSlk30LtnMtGl.psd,ready,hero,
sleek-30ml-clear-18-415-perfumespray,GBSlk30SpryMtGl,GB-SLK-CLR-30ML-SPR-MGLD,GBSlk30SpryMtGl__GB-SLK-CLR-30ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/11. Sleek 30ml /1. Sleek 30ml PSD/11. GBSlk30SpryMtGl.psd,ready,,
sleek-30ml-clear-18-415-perfumespray,GBSlk30SpryMtGl,GB-SLK-CLR-30ML-SPR-MGLD,GBSlk30SpryMtGl__GB-SLK-CLR-30ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /11. Sleek 30ml /1. Sleek 30ml PSD/13. GBSlk30SpryMtGl.psd,ready,hero,
sleek-30ml-clear-18-415-reducer,GBSlk30RdcrShnGl,GB-SLK-CLR-30ML-RDC-SGLD,GBSlk30RdcrShnGl__GB-SLK-CLR-30ML-RDC-SGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/11. Sleek 30ml /1. Sleek 30ml PSD/1. GBSlk30RdcrShnGl.psd,ready,,
sleek-30ml-clear-18-415-reducer,GBSlk30RdcrShnGl,GB-SLK-CLR-30ML-RDC-SGLD,GBSlk30RdcrShnGl__GB-SLK-CLR-30ML-RDC-SGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /11. Sleek 30ml /1. Sleek 30ml PSD/1. GBSlk30RdcrShnGl.psd,ready,hero,
sleek-50ml-clear-18-415-antiquespray,GBSlk50AnSpGl,GB-SLK-CLR-50ML-ASP-GLD,GBSlk50AnSpGl__GB-SLK-CLR-50ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/12. Sleek 50ml/1. Sleek 50ml PSD/37. GBSlk50AnSpGl.psd,ready,,
sleek-50ml-clear-18-415-antiquespray,GBSlk50AnSpGl,GB-SLK-CLR-50ML-ASP-GLD,GBSlk50AnSpGl__GB-SLK-CLR-50ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,hero,
sleek-50ml-clear-18-415-antiquespray-tassel,GBSlk50AnSpTslIvyGl,GB-SLK-CLR-50ML-AST-IVGD,GBSlk50AnSpTslIvyGl__GB-SLK-CLR-50ML-AST-IVGD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/12. Sleek 50ml/1. Sleek 50ml PSD/43. GBSlk50AnSpTslIvyGl.psd,ready,,
sleek-50ml-clear-18-415-antiquespray-tassel,GBSlk50AnSpTslIvyGl,GB-SLK-CLR-50ML-AST-IVGD,GBSlk50AnSpTslIvyGl__GB-SLK-CLR-50ML-AST-IVGD.png,pdp-cap-off-sidecar,,,missing-role,hero,
sleek-50ml-clear-18-415-lotionpump,LBSlk50LtnMtGl,LB-SLK-CLR-50ML-LPM-MGLD,LBSlk50LtnMtGl__LB-SLK-CLR-50ML-LPM-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/12. Sleek 50ml/1. Sleek 50ml PSD/12. LBSlk50LtnMtGl.psd,ready,,
sleek-50ml-clear-18-415-lotionpump,LBSlk50LtnMtGl,LB-SLK-CLR-50ML-LPM-MGLD,LBSlk50LtnMtGl__LB-SLK-CLR-50ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /12. Sleek 50ml/1. Sleek 50ml PSD/14. LBSlk50LtnMtGl.psd,ready,hero,
sleek-50ml-clear-18-415-perfumespray,GBSlk50SpryMtGl,GB-SLK-CLR-50ML-SPR-MGLD,GBSlk50SpryMtGl__GB-SLK-CLR-50ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/12. Sleek 50ml/1. Sleek 50ml PSD/11. GBSlk50SpryMtGl.psd,ready,,
sleek-50ml-clear-18-415-perfumespray,GBSlk50SpryMtGl,GB-SLK-CLR-50ML-SPR-MGLD,GBSlk50SpryMtGl__GB-SLK-CLR-50ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /12. Sleek 50ml/1. Sleek 50ml PSD/13. GBSlk50SpryMtGl.psd,ready,hero,
