groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
slim-100ml-clear-18-415-antiquespray,GBSlm100AnSpGl,GB-SLM-CLR-100ML-ASP-GLD,GBSlm100AnSpGl__GB-SLM-CLR-100ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/16. Slim 100ml/1. Slim 100 PSD/37. GBSlm100AnSpGl.psd,ready,
slim-100ml-clear-18-415-antiquespray,GBSlm100AnSpGl,GB-SLM-CLR-100ML-ASP-GLD,GBSlm100AnSpGl__GB-SLM-CLR-100ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,
slim-100ml-clear-18-415-antiquespray-tassel,GBSlm100AnSpTslGl,GB-SLM-CLR-100ML-AST-GLD,GBSlm100AnSpTslGl__GB-SLM-CLR-100ML-AST-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/16. Slim 100ml/1. Slim 100 PSD/50. GBSlm100AnSpTslGl.psd,ready,
slim-100ml-clear-18-415-antiquespray-tassel,GBSlm100AnSpTslGl,GB-SLM-CLR-100ML-AST-GLD,GBSlm100AnSpTslGl__GB-SLM-CLR-100ML-AST-GLD.png,pdp-cap-off-sidecar,,,missing-role,
slim-100ml-clear-18-415-lotionpump,LBSlm100LtnMtGl,LB-SLM-CLR-100ML-LPM-MGLD,LBSlm100LtnMtGl__LB-SLM-CLR-100ML-LPM-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/16. Slim 100ml/1. Slim 100 PSD/12. LBSlm100LtnMtGl.psd,ready,
slim-100ml-clear-18-415-lotionpump,LBSlm100LtnMtGl,LB-SLM-CLR-100ML-LPM-MGLD,LBSlm100LtnMtGl__LB-SLM-CLR-100ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /16. Slim 100ml/1. Slim 100 PSD/14. LBSlm100LtnMtGl.psd,ready,
slim-100ml-clear-18-415-perfumespray,GBSlm100SpryMtGl,GB-SLM-CLR-100ML-SPR-MGLD,GBSlm100SpryMtGl__GB-SLM-CLR-100ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/16. Slim 100ml/1. Slim 100 PSD/11. GBSlm100SpryMtGl.psd,ready,
slim-100ml-clear-18-415-perfumespray,GBSlm100SpryMtGl,GB-SLM-CLR-100ML-SPR-MGLD,GBSlm100SpryMtGl__GB-SLM-CLR-100ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /16. Slim 100ml/1. Slim 100 PSD/13. GBSlm100SpryMtGl.psd,ready,
slim-100ml-clear-18-415-reducer,GBSlm100RdcrShnGl,GB-SLM-CLR-100ML-RDC-SGLD,GBSlm100RdcrShnGl__GB-SLM-CLR-100ML-RDC-SGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/16. Slim 100ml/1. Slim 100 PSD/1. GBSlm100RdcrShnGl..psd,ready,
slim-100ml-clear-18-415-reducer,GBSlm100RdcrShnGl,GB-SLM-CLR-100ML-RDC-SGLD,GBSlm100RdcrShnGl__GB-SLM-CLR-100ML-RDC-SGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /16. Slim 100ml/1. Slim 100 PSD/1. GBSlm100RdcrShnGl..psd,ready,
slim-30ml-clear-18-415-antiquespray,GBSlm30AnSpGl,GB-SLM-CLR-30ML-ASP-GLD,GBSlm30AnSpGl__GB-SLM-CLR-30ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/14. Slim 30ml/1. Slim 30ml PSD/37. GBSlm30AnSpGl.psd,ready,
slim-30ml-clear-18-415-antiquespray,GBSlm30AnSpGl,GB-SLM-CLR-30ML-ASP-GLD,GBSlm30AnSpGl__GB-SLM-CLR-30ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,
slim-30ml-clear-18-415-dropper,GBSlm30DrpCu,GB-SLM-CLR-30ML-DRP-CPR,GBSlm30DrpCu__GB-SLM-CLR-30ML-DRP-CPR.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/14. Slim 30ml/1. Slim 30ml PSD/44. GBSlm30DrpCu.psd,ready,
