groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
fine-mist-sprayer-13-415,CP13-415SpryCuMt,CMP-SPR-MTCP-13-415-07,CP13-415SpryCuMt__CMP-SPR-MTCP-13-415-07.png,identity-cap-on,,,no-source,
fine-mist-sprayer-13-415,CP13-415SpryCuMt,CMP-SPR-MTCP-13-415-07,CP13-415SpryCuMt__CMP-SPR-MTCP-13-415-07.png,pdp-cap-off-sidecar,,,no-source,
fine-mist-sprayer-15-415,Spry15-415ShnGl,CMP-SPR-SGLD-15-415,Spry15-415ShnGl__CMP-SPR-SGLD-15-415.png,identity-cap-on,,,missing-role,
fine-mist-sprayer-15-415,Spry15-415ShnGl,CMP-SPR-SGLD-15-415,Spry15-415ShnGl__CMP-SPR-SGLD-15-415.png,pdp-cap-off-sidecar,,,missing-role,
fine-mist-sprayer-15-415,Spry15-415ShnGl,CMP-SPR-SGLD-15-415,Spry15-415ShnGl__CMP-SPR-SGLD-15-415.png,UNDECIDED,original,"20. Closures - Cap, Sprayers, Lotion pumps, etc/16. 15-415 Sprayer/2. Spry15-415ShnGl.psd",needs-role-decision,
fine-mist-sprayer-17-415,Spry17-415Gl,CMP-SPR-SGLD-17-415,Spry17-415Gl__CMP-SPR-SGLD-17-415.png,identity-cap-on,,,missing-role,
fine-mist-sprayer-17-415,Spry17-415Gl,CMP-SPR-SGLD-17-415,Spry17-415Gl__CMP-SPR-SGLD-17-415.png,pdp-cap-off-sidecar,,,missing-role,
fine-mist-sprayer-17-415,Spry17-415Gl,CMP-SPR-SGLD-17-415,Spry17-415Gl__CMP-SPR-SGLD-17-415.png,UNDECIDED,original,"20. Closures - Cap, Sprayers, Lotion pumps, etc/13. 17-415 Spray/11. Spry17-415Gl.psd",needs-role-decision,
fine-mist-sprayer-18-415,Spry18-415ShnGl,CMP-SPR-SHGD-18-415-05,Spry18-415ShnGl__CMP-SPR-SHGD-18-415-05.png,identity-cap-on,,,no-source,
fine-mist-sprayer-18-415,Spry18-415ShnGl,CMP-SPR-SHGD-18-415-05,Spry18-415ShnGl__CMP-SPR-SHGD-18-415-05.png,pdp-cap-off-sidecar,,,no-source,
vintage-bulb-sprayer,AntqSprBulbLavender,CMP-SPR-LVN-BULB,AntqSprBulbLavender__CMP-SPR-LVN-BULB.png,identity-cap-on,,,no-source,
vintage-bulb-sprayer,AntqSprBulbLavender,CMP-SPR-LVN-BULB,AntqSprBulbLavender__CMP-SPR-LVN-BULB.png,pdp-cap-off-sidecar,,,no-source,
vintage-bulb-sprayer-18-415,CP18-415AnSpPnk,CMP-CAP-PNK-18-415,CP18-415AnSpPnk__CMP-CAP-PNK-18-415.png,identity-cap-on,,,missing-role,
vintage-bulb-sprayer-18-415,CP18-415AnSpPnk,CMP-CAP-PNK-18-415,CP18-415AnSpPnk__CMP-CAP-PNK-18-415.png,pdp-cap-off-sidecar,,,missing-role,
vintage-bulb-sprayer-18-415,CP18-415AnSpPnk,CMP-CAP-PNK-18-415,CP18-415AnSpPnk__CMP-CAP-PNK-18-415.png,UNDECIDED,original,2. 18-415 Bottles/32. 18415 Caps/18415/18415 Caps/24. CP18-415AnSpPnk.psd,needs-role-decision,
vintage-bulb-sprayer-with-tassel-18-415,CP18-415AnSpTslGl,CMP-SPR-GLD-18415-TSL,CP18-415AnSpTslGl__CMP-SPR-GLD-18415-TSL.png,identity-cap-on,,,missing-role,
vintage-bulb-sprayer-with-tassel-18-415,CP18-415AnSpTslGl,CMP-SPR-GLD-18415-TSL,CP18-415AnSpTslGl__CMP-SPR-GLD-18415-TSL.png,pdp-cap-off-sidecar,,,missing-role,
vintage-bulb-sprayer-with-tassel-18-415,CP18-415AnSpTslGl,CMP-SPR-GLD-18415-TSL,CP18-415AnSpTslGl__CMP-SPR-GLD-18415-TSL.png,UNDECIDED,original,2. 18-415 Bottles/32. 18415 Caps/18415/18415 Caps/43. CP18-415AnSpTslGl.psd,needs-role-decision,
