groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
tulip-5ml-amber-13-415,GBTulipAmb5Gl,GB-CYL-AMB-5ML-GLD-T,GBTulipAmb5Gl__GB-CYL-AMB-5ML-GLD-T.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/4. Tulip 5ml Amber/2. Tulip 5 Amber (Capped) PSD/28. GBTulipAmb5Gl.psd,ready,,
tulip-5ml-amber-13-415,GBTulipAmb5Gl,GB-CYL-AMB-5ML-GLD-T,GBTulipAmb5Gl__GB-CYL-AMB-5ML-GLD-T.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/4. Tulip 5ml Amber/1. Tulip 5 Amber (Uncapped) PSD /28. GBTulipAmb5Gl.psd,ready,hero,
tulip-5ml-amber-13-415-finemist,GBTulipAmb5SpryGlMatt,GB-CYL-AMB-5ML-SPR-MGLD,GBTulipAmb5SpryGlMatt__GB-CYL-AMB-5ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/4. Tulip 5ml Amber/2. Tulip 5 Amber (Capped) PSD/7. GBTulipAmb5SpryGlMatt.psd,ready,,
tulip-5ml-amber-13-415-finemist,GBTulipAmb5SpryGlMatt,GB-CYL-AMB-5ML-SPR-MGLD,GBTulipAmb5SpryGlMatt__GB-CYL-AMB-5ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/4. Tulip 5ml Amber/1. Tulip 5 Amber (Uncapped) PSD /7. GBTulipAmb5SpryGlMatt.psd,ready,hero,
tulip-5ml-amber-13-415-rollon,GBTulipAmb5MtlRollBlkDot,GB-CYL-AMB-5ML-MRL-BKDT,GBTulipAmb5MtlRollBlkDot__GB-CYL-AMB-5ML-MRL-BKDT.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/4. Tulip 5ml Amber/2. Tulip 5 Amber (Capped) PSD/26. GBTulipAmb5MtlRollBlkDot.psd,ready,,
tulip-5ml-amber-13-415-rollon,GBTulipAmb5MtlRollBlkDot,GB-CYL-AMB-5ML-MRL-BKDT,GBTulipAmb5MtlRollBlkDot__GB-CYL-AMB-5ML-MRL-BKDT.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/4. Tulip 5ml Amber/1. Tulip 5 Amber (Uncapped) PSD /26. GBTulipAmb5MtlRollBlkDot.psd,ready,hero,
tulip-6ml-clear-13-415,GBTulip6Gl,GB-CYL-CLR-6ML-GLD-T,GBTulip6Gl__GB-CYL-CLR-6ML-GLD-T.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/19. Tulip 6ml Clear/2. Tulip 6ml (Capped) PSD /28. GBTulip6Gl.psd,ready,,
tulip-6ml-clear-13-415,GBTulip6Gl,GB-CYL-CLR-6ML-GLD-T,GBTulip6Gl__GB-CYL-CLR-6ML-GLD-T.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/19. Tulip 6ml Clear/1. Tulip 6ml (Uncapped) PSD /28. GBTulip6Gl.psd,ready,hero,
tulip-6ml-clear-13-415-finemist,GBTulip6SpryGlMatt,GB-CYL-CLR-6ML-SPR-MGLD,GBTulip6SpryGlMatt__GB-CYL-CLR-6ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/19. Tulip 6ml Clear/2. Tulip 6ml (Capped) PSD /7. GBTulip6SpryGlMatt.psd,ready,,
tulip-6ml-clear-13-415-finemist,GBTulip6SpryGlMatt,GB-CYL-CLR-6ML-SPR-MGLD,GBTulip6SpryGlMatt__GB-CYL-CLR-6ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/19. Tulip 6ml Clear/1. Tulip 6ml (Uncapped) PSD /7. GBTulip6SpryGlMatt.psd,ready,hero,
tulip-6ml-clear-13-415-rollon,GBTulip6MtlRollBlkDot,GB-CYL-CLR-6ML-MRL-BKDT,GBTulip6MtlRollBlkDot__GB-CYL-CLR-6ML-MRL-BKDT.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/19. Tulip 6ml Clear/2. Tulip 6ml (Capped) PSD /26. GBTulip6MtlRollBlkDot.psd,ready,,
tulip-6ml-clear-13-415-rollon,GBTulip6MtlRollBlkDot,GB-CYL-CLR-6ML-MRL-BKDT,GBTulip6MtlRollBlkDot__GB-CYL-CLR-6ML-MRL-BKDT.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/19. Tulip 6ml Clear/1. Tulip 6ml (Uncapped) PSD /26. GBTulip6MtlRollBlkDot.psd,ready,hero,
