groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
vial-1ml-amber-Plug,GB1mlAmbVialWht,GB-VIA-AMB-1ML-WHT-T,GB1mlAmbVialWht__GB-VIA-AMB-1ML-WHT-T.png,identity-cap-on,bbuat,2. PSD Capped /15. Vials/2. 1ml Amber PSD Capped/2. GB1mlAmbVialWht.psd,ready,,
vial-1ml-amber-Plug,GB1mlAmbVialWht,GB-VIA-AMB-1ML-WHT-T,GB1mlAmbVialWht__GB-VIA-AMB-1ML-WHT-T.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /15. Vials/1. 1ml Amber PSD Uncapped/2. GB1mlAmbVialWht.psd,ready,hero,
vial-1ml-clear-Plug,GB1mlVBlk,GB-VIA-CLR-1ML-BLK-T,GB1mlVBlk__GB-VIA-CLR-1ML-BLK-T.png,identity-cap-on,bbuat,2. PSD Capped /15. Vials/3. 1ml Clear PSD Capped/1. GB1mlVBlk.psd,ready,,
vial-1ml-clear-Plug,GB1mlVBlk,GB-VIA-CLR-1ML-BLK-T,GB1mlVBlk__GB-VIA-CLR-1ML-BLK-T.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /15. Vials/4. 1ml Clear PSD Uncapped/1. GB1mlVBlk.psd,ready,hero,
vial-2ml-amber-13-425,GBVialAmb1o5WhtCapSht,GB-VIA-AMB-1.5ML-WHT-S,GBVialAmb1o5WhtCapSht__GB-VIA-AMB-1.5ML-WHT-S.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/22. GB 1o5 Amber/1.  Amber 1o5 /2. GBVialAmb1o5WhtCapSht.psd,ready,,
vial-2ml-amber-13-425,GBVialAmb1o5WhtCapSht,GB-VIA-AMB-1.5ML-WHT-S,GBVialAmb1o5WhtCapSht__GB-VIA-AMB-1.5ML-WHT-S.png,pdp-cap-off-sidecar,,,missing-role,hero,
vial-2ml-amber-8-425,GBVAmb2WhtCap,GB-VIA-CLR-2ML-S-02,GBVAmb2WhtCap__GB-VIA-CLR-2ML-S-02.png,identity-cap-on,,,missing-role,,
vial-2ml-amber-8-425,GBVAmb2WhtCap,GB-VIA-CLR-2ML-S-02,GBVAmb2WhtCap__GB-VIA-CLR-2ML-S-02.png,pdp-cap-off-sidecar,,,missing-role,hero,
vial-2ml-amber-8-425,GBVAmb2WhtCap,GB-VIA-CLR-2ML-S-02,GBVAmb2WhtCap__GB-VIA-CLR-2ML-S-02.png,UNDECIDED,original,12. Vials/0. All Vials/Capped/GBVAmb2WhtCap.psd,needs-role-decision,,
vial-2ml-clear-8-425,GBVialClr2mlWhtCap,GB-VIA-CLR-2ML-WHT-T,GBVialClr2mlWhtCap__GB-VIA-CLR-2ML-WHT-T.png,identity-cap-on,,,missing-role,,
vial-2ml-clear-8-425,GBVialClr2mlWhtCap,GB-VIA-CLR-2ML-WHT-T,GBVialClr2mlWhtCap__GB-VIA-CLR-2ML-WHT-T.png,pdp-cap-off-sidecar,,,missing-role,hero,
vial-2ml-clear-8-425,GBVialClr2mlWhtCap,GB-VIA-CLR-2ML-WHT-T,GBVialClr2mlWhtCap__GB-VIA-CLR-2ML-WHT-T.png,UNDECIDED,original,6.   8-425 Bottles - CB/2. 2ml Dram/1.  Clear 2ml Dram/2. GBVialClr2mlWhtCap.psd,needs-role-decision,,
vial-3ml-blue-13-425,GBVBlu1o9BlackCapSht,GB-VIA-BLU-3ML-BLK-S,GBVBlu1o9BlackCapSht__GB-VIA-BLU-3ML-BLK-S.png,identity-cap-on,,,no-source,,
vial-3ml-blue-13-425,GBVBlu1o9BlackCapSht,GB-VIA-BLU-3ML-BLK-S,GBVBlu1o9BlackCapSht__GB-VIA-BLU-3ML-BLK-S.png,pdp-cap-off-sidecar,,,no-source,hero,
vial-3ml-green-13-425,GBVGreen2o4BlackCapSht,GB-VIA-CLR-3ML-GRN-S,GBVGreen2o4BlackCapSht__GB-VIA-CLR-3ML-GRN-S.png,identity-cap-on,,,no-source,,
vial-3ml-green-13-425,GBVGreen2o4BlackCapSht,GB-VIA-CLR-3ML-GRN-S,GBVGreen2o4BlackCapSht__GB-VIA-CLR-3ML-GRN-S.png,pdp-cap-off-sidecar,,,no-source,hero,
vial-4ml-amber-13-425,GBVAmb1DrmWhtCapSht,GB-VIA-CLR-3ML-S-04,GBVAmb1DrmWhtCapSht__GB-VIA-CLR-3ML-S-04.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/21. 1 Dram/1. 1 Dram/1.  Amber 1 Dram/3. GBVAmb1DrmWhtCapSht.psd,ready,,
vial-4ml-amber-13-425,GBVAmb1DrmWhtCapSht,GB-VIA-CLR-3ML-S-04,GBVAmb1DrmWhtCapSht__GB-VIA-CLR-3ML-S-04.png,pdp-cap-off-sidecar,,,missing-role,hero,
vial-4ml-amber-13-425-dropper,GBVAmb1DrmBlkDrpr,GB-VIA-CLR-3ML-02,GBVAmb1DrmBlkDrpr__GB-VIA-CLR-3ML-02.png,identity-cap-on,,,no-source,hero,
vial-4ml-amber-13-425-dropper,GBVAmb1DrmBlkDrpr,GB-VIA-CLR-3ML-02,GBVAmb1DrmBlkDrpr__GB-VIA-CLR-3ML-02.png,pdp-cap-off-sidecar,,,no-source,,
vial-4ml-blue-13-425,GBVBlu1DrmWhtCapSht,GB-VIA-CLR-3ML-S-06,GBVBlu1DrmWhtCapSht__GB-VIA-CLR-3ML-S-06.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/21. 1 Dram/1. 1 Dram/2.  Blue 1 Dram/3. GBVBlu1DrmWhtCapSht.psd,ready,,
vial-4ml-blue-13-425,GBVBlu1DrmWhtCapSht,GB-VIA-CLR-3ML-S-06,GBVBlu1DrmWhtCapSht__GB-VIA-CLR-3ML-S-06.png,pdp-cap-off-sidecar,,,missing-role,hero,
vial-4ml-blue-13-425-dropper,GBVBlu1DrmBlkDropper,GB-VIA-CLR-3ML-03,GBVBlu1DrmBlkDropper__GB-VIA-CLR-3ML-03.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/21. 1 Dram/1. 1 Dram/2.  Blue 1 Dram/2. GBVBlu1DrmBlkDropper.psd,ready,hero,
vial-4ml-blue-13-425-dropper,GBVBlu1DrmBlkDropper,GB-VIA-CLR-3ML-03,GBVBlu1DrmBlkDropper__GB-VIA-CLR-3ML-03.png,pdp-cap-off-sidecar,,,missing-role,,
vial-4ml-clear-13-425,GBV1DrmWhtCapSht,GB-VIA-CLR-3ML-S-02,GBV1DrmWhtCapSht__GB-VIA-CLR-3ML-S-02.png,identity-cap-on,,,no-source,,
vial-4ml-clear-13-425,GBV1DrmWhtCapSht,GB-VIA-CLR-3ML-S-02,GBV1DrmWhtCapSht__GB-VIA-CLR-3ML-S-02.png,pdp-cap-off-sidecar,,,no-source,hero,
vial-4ml-clear-13-425-dropper,GBV1DrmBlkDropper,GB-VIA-CLR-3ML-01,GBV1DrmBlkDropper__GB-VIA-CLR-3ML-01.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/21. 1 Dram/1. 1 Dram/4.  Clear 1 Dram/2. GBV1DrmBlkDropper.psd,ready,hero,
vial-4ml-clear-13-425-dropper,GBV1DrmBlkDropper,GB-VIA-CLR-3ML-01,GBV1DrmBlkDropper__GB-VIA-CLR-3ML-01.png,pdp-cap-off-sidecar,,,missing-role,,
vial-4ml-green-13-425,GBVGr1DrmWhtCapSht,GB-VIA-CLR-3ML-S-08,GBVGr1DrmWhtCapSht__GB-VIA-CLR-3ML-S-08.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/21. 1 Dram/1. 1 Dram/3.  Green 1 Dram/3. GBVGr1DrmWhtCapSht.psd,ready,,
vial-4ml-green-13-425,GBVGr1DrmWhtCapSht,GB-VIA-CLR-3ML-S-08,GBVGr1DrmWhtCapSht__GB-VIA-CLR-3ML-S-08.png,pdp-cap-off-sidecar,,,missing-role,hero,
vial-4ml-green-13-425-dropper,GBVGr1DrmBlkDropper,GB-VIA-CLR-3ML-04,GBVGr1DrmBlkDropper__GB-VIA-CLR-3ML-04.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/21. 1 Dram/1. 1 Dram/3.  Green 1 Dram/2. GBVGr1DrmBlkDropper.psd,ready,hero,
vial-4ml-green-13-425-dropper,GBVGr1DrmBlkDropper,GB-VIA-CLR-3ML-04,GBVGr1DrmBlkDropper__GB-VIA-CLR-3ML-04.png,pdp-cap-off-sidecar,,,missing-role,,
vial-9ml-clear-18-400,GB09BlackCapSht,GB-CYL-CLR-9ML-S-01,GB09BlackCapSht__GB-CYL-CLR-9ML-S-01.png,identity-cap-on,bbuat,2. PSD Capped /18. 18:400/2. Clear 18:400 Uncapped/1. GB09BlackCapSht.psd,ready,,
vial-9ml-clear-18-400,GB09BlackCapSht,GB-CYL-CLR-9ML-S-01,GB09BlackCapSht__GB-CYL-CLR-9ML-S-01.png,pdp-cap-off-sidecar,,,missing-role,hero,
vial-9ml-clear-18-400-glasswand,GB09BlackCapApp,GB-CYL-CLR-9ML-T-01,GB09BlackCapApp__GB-CYL-CLR-9ML-T-01.png,identity-cap-on,bbuat,2. PSD Capped /18. 18:400/2. Clear 18:400 Uncapped/2. GB09BlackCapApp.psd,ready,,
vial-9ml-clear-18-400-glasswand,GB09BlackCapApp,GB-CYL-CLR-9ML-T-01,GB09BlackCapApp__GB-CYL-CLR-9ML-T-01.png,pdp-cap-off-sidecar,,,missing-role,hero,
